,raw_text,clean_text,subjectivity,polarity
36,@realDonaldTrump No thanks to #DiaperDon  Market now reacting to Joe Biden’s election and ass-kicking of @realDonald Trump,realdonaldtrump thanks diaperdon market reacting joe biden election as kicking realdonald trump,1,1
37,Biden is a puppet for Nancy Pelosi and the American People.,biden puppet nancy pelosi american people,1,0
38,"@FoxNews, too bad Biden won’t see a day in the White House 💁🏼‍♀️",foxnews bad biden see day white house,1,0
39,"@marceelias First of all, you can appeal a recount loss?? Second of all, Biden won in BOTH of those counties by a LANDSLIDE! So umm... wtf!?? smdh!",marceelias first appeal recount loss second biden county landslide umm wtf smdh,1,1
40,@realDonaldTrump Thank Biden. Leadership is on the way.,realdonaldtrump thank biden leadership way,1,1
41,@RiaTaylor00 @tony_b09 @SarcasticWee @marceelias Trump has 26 sexual alligations on him while biden has none. That tells you something,riataylor tony b sarcasticwee marceelias trump sexual alligations biden none tell something,1,1
42,@chrislhayes You media types need to start treating the GOP like the threat to American lives that they are. They are the (insert media scare term) of the COVID crisis. Biden and other dem. enablers who keep hyping up bipartisanship with these ghouls should be condemned as well.,chrislhayes medium type need start treating gop like threat american life insert scare term covid crisis biden dem enablers keep hyping bipartisanship ghoul condemned well,1,0
43,@realDonaldTrump Better thank Biden!,realdonaldtrump better thank biden,1,1
44,@drrollergator @ConceptualJames How do we know 2+2=5? That's the only way Biden won the election,drrollergator conceptualjames know way biden election,1,0
45,@CBSNews Georgia went blue for Biden/Harris and Senate 50/50 tie is imperative for Dems with 2 Georgia Runoff Races https://t.co/KTCnDakVaY SPECIAL INCENTIVE: this will get rid of fossil clown @senatemajldr as Senate majority leader,cbsnews georgia went blue biden harris senate tie imperative dems runoff race special incentive get rid fossil clown senatemajldr majority leader,0,2
46,"@jaketapper Hi Jake! Kindly relay this Compassionate Christmas proposal to President-Elect Joe Biden. Millions of Compassionate Landlords might be willing to forgive vulnerable tenants December rent if Biden makes the call,  invoking their sacrifice to help Build America Back Better!",jaketapper hi jake kindly relay compassionate christmas proposal president elect joe biden million landlord might willing forgive vulnerable tenant december rent make call invoking sacrifice help build america back better,0,2
47,"@CareBearCousin @DianeDMa1 @Lesdoggg It’s hilarious that the education map mirrors the voting map this year too. Highly educated states, for the most part, voted for Biden, and vice versa.",carebearcousin dianedma lesdog hilarious education map mirror voting year highly educated state part voted biden vice versa,1,0
48,Biden to ask Americans to wear masks for 100 days https://t.co/yq6Ytgxq7j,biden ask american wear mask day,0,2
49,"Arizona Rushes to Certify Biden’s Win, Ignoring Evidence Suggesting Frau... https://t.co/4ABxStA5bN via @YouTube",arizona rush certify biden win ignoring evidence suggesting frau via youtube,1,0
50,"@dev_decker Bernie's gonna outlive Biden, or at least, keep his marbles longer. BUT, he's not wartime. Turner/Hedges.",dev decker bernie gon na outlive biden least keep marble longer not wartime turner hedge,1,0
51,@Mike_Pence @CDCgov We know help is on the way. Biden will be inaugurated in January and he’ll fix your screw ups. #BidenTransition,mike penny cdcgov know help way biden inaugurated january fix screw ups bidentransition,1,1
52,Not surprising since #biden has always plagiarized,not surprising since biden always plagiarized,1,0
53,@Transition46 @JoeBiden Strong doses of socialism in America coming from Biden/Harris.,transition joebiden strong dos socialism america coming biden harris,0,2
54,@AntiAquariusAge @pikachuevie @VICE not a biden supporter and yes i like basketball. pretty pathetic how you're just digging for stuff to talk about because you have nothing important to say lmao,antiaquariusage pikachuevie vice not biden supporter yes like basketball pretty pathetic digging stuff talk nothing important say lmao,1,0
55,"@NancyBi43927029 Nancy, 

Just verified this: Trump beat Biden in Florida 51% to 47%. Therefore, all 29 FL electoral votes will go to Trump, as they should by state law.",nancybi nancy verified trump beat biden florida therefore fl electoral vote go state law,0,2
56,#Biden will never degrade a reporter for asking a question. He respects all human beings If he has something important to say we won’t have to read it in a tweet. How refreshing. I doubt the qualified people around him will stay in place #Trumps Whitehouse was a revolving door.,biden never degrade reporter asking question respect human being something important say read tweet refreshing doubt qualified people around stay place trump whitehouse revolving door,1,1
57,@kasie Joe Biden had never done anything but lie. Ffs the man was caught plagiarizing over half of his speeches. He is the epitome of a liar.,kasie joe biden never done anything lie ffs man caught plagiarizing half speech epitome liar,1,0
58,"""When Obama won twice, too many people went to sleep.""

@CornelWest is warning progressives to stay vigilant in fighting Wall Street greed and Pentagon militarism during a Biden presidency. https://t.co/8zbiOtYqYN",obama twice many people went sleep cornelwest warning progressive stay vigilant fighting wall street greed pentagon militarism biden presidency,0,2
59,@AOC Did you see how the LA Lakers applied and got some federal money?  Crazy right bastards!,aoc see la lakers applied got federal money crazy right bastard,0,2
60,@realDonaldTrump actually Biden is already the president.  thank God,realdonaldtrump actually biden already president thank god,1,1
61,@RealMattCouch Actual footage taken just before Joe Biden fell https://t.co/eoW7uWcMDV,realmattcouch actual footage taken joe biden fell,1,0
62,The size of Joe Biden’s victory matters. And it is huge. https://t.co/HHAMWKeODu,size joe biden victory matter huge,1,1
63,@realDonaldTrump We did that is why we voted Biden.,realdonaldtrump voted biden,1,1
64,@therecount @abbydphillip Who in the hell cares?  Why don't you ask McConnell if he's talked to Biden? How about McConnell stating that Biden is in fact the President-Elect?,therecount abbydphillip hell care ask mcconnell talked biden stating fact president elect,0,2
65,@TheRickWilson Funny how the left wing thinks Biden’s picks are all greedy corporate shills and the far right thinks they’re all commies who want to destroy big business. We’re living in the “Upside Down.”,therickwilson funny left wing think biden pick greedy corporate shill far right commie want destroy big business living upside,0,2
66,"@ErrorTruth @dustydavis_ @DrOakley1689 Let’s be peacemakers, starting with each other. Setting out eyes on Christ, not Biden or Trump.",errortruth dustydavis droakley let peacemaker starting setting eye christ not biden trump,0,2
67,"@ShaneGoldmacher Dang! 

Yet some people who voted for Biden forgot they weren’t supposed vote for Collins too. It was split ticketing.",shanegoldmacher dang yet people voted biden forgot supposed vote collins split ticketing,1,0
68,@realDonaldTrump Tweeter should ban you smh you stole the election from Hillary and joe Biden will be the president next yr can’t wait💃🏾💃🏾💃🏾💃🏾💃🏾,realdonaldtrump tweeter ban smh stole election hillary joe biden president next yr wait,1,1
69,"@realDonaldTrump As you once said, gains must be judged from the day after the Election, so thank you Biden.",realdonaldtrump said gain must judged day election thank biden,1,1
70,"Joseph Biden, president elect of the US of A",joseph biden president elect u,1,1
71,"@DailyCaller Omg! It’s already been way over 100 days already. So glad Biden won’t be POTUS, so no worries there🙏🏻🇺🇸❤️",dailycaller omg already way day glad biden potus worry,1,0
72,@DannyKlotz @DonaldJTrumpJr Strangely then all the dead covid victims voted for Biden. Weird!,dannyklotz donaldjtrumpjr strangely dead covid victim voted biden weird,1,0
73,"@CyberdyneSyst13 @itsmagg26528701 @Kolas_Yotaka @formosanafro I’m not denying Cruz supports Taiwan - it’s the one and only good thing about him!

Please stop presenting Taiwan as a left/right US issue. It doesn’t help TW if you argue it like that. TW needs both.

The US supports TW with a GOP president, and will continue to do so with Biden",cyberdynesyst itsmagg kola yotaka formosanafro not denying cruz support taiwan one good thing please stop presenting left right u issue help tw argue like need gop president continue biden,1,1
74,"@JB87166184 @ImTheAssistMan @realDonaldTrump Thank you for the common sense. The if their was voter fraud. We would see it in a bigger scale and the electoral vote count to Biden would of been higher. He would win states like TX, FL and also why wasn’t the senate flipped",jb imtheassistman realdonaldtrump thank common sense voter fraud would see bigger scale electoral vote count biden higher win state like tx fl also senate flipped,1,0
75,Thank God it won't be long!  Biden will have them replaced! The Pentagon isn't a McDonald's Playland!,thank god long biden replaced pentagon mcdonald playland,1,1
76,"@RealMattCouch I wonder how long this poor bastard would live during a ""God forbidden""
Biden admin.",realmattcouch wonder long poor bastard would live god forbidden biden admin,1,0
77,@realDonaldTrump Thank you Biden!!!!,realdonaldtrump thank biden,1,1
78,"@TIME @efelsenthal I was recently shocked to see that you published the magazine as below with SJ Biden noted as President. WTF? Biden is not and never will be the Pres. of America. You 🤡’s need to understand that 80,000 Americans voted @realDonaldTrump and you are FAKE News!! https://t.co/fr69DLUkHi",time efelsenthal recently shocked see published magazine sj biden noted president wtf not never pres america need understand american voted realdonaldtrump fake news,1,0
79,CNN Exclusive: Biden says he will ask Americans to wear masks for the first 100 days he's in office - CNN Politics https://t.co/LCfwQqqsSe,cnn exclusive biden say ask american wear mask first day office politics,0,2
80,"@LightworkerCain We are cloning an army of Fuscii for the Deep State, patriot. Have no fear. President Biden will fix everything.

Trus d Plan",lightworkercain cloning army fuscii deep state patriot fear president biden fix everything trus plan,1,1
81,@realDonaldTrump STOCK MARKET LOVES JOE BIDEN. THANKS @JoeBiden,realdonaldtrump stock market love joe biden thanks joebiden,1,1
82,"She @briebriejoy be like: I will go to all the right-wing shows, including Saagar, @megynkelly, Fox News to attack Biden and Dems, not saying a single word for Trump and GOP. Next stops: Newsmax and OAN",briebriejoy like go right wing show including saagar megynkelly fox news attack biden dems not saying single word trump gop next stop newsmax oan,1,0
83,@HerschelWalker @mschlapp @BrianKempGA Keep tagging Joe Biden and Kamala Harris in this!   Tell them they are done!!,herschelwalker mschlapp briankempga keep tagging joe biden kamala harris tell done,1,0
84,@realDonaldTrump I thought it was gonna plummet if Biden was elected?,realdonaldtrump thought gon na plummet biden elected,1,1
85,Green bank advocates hope Biden win can help reinvigorate idea in Minnesota https://t.co/QKkQMuge9B,green bank advocate hope biden win help reinvigorate idea minnesota,1,1
86,Biden Steals Trump&amp;#8217;s &amp;#8216;America First&amp;#8217; Slogan in New Interview via @WestJournalism https://t.co/x1INgkb1wz,biden steal trump amp america first slogan new interview via westjournalism,1,0
87,"@JennaEllisEsq They are all living in denial.  They all deny that Biden has no clothes on. 

 The President-reject Has No Clothes On.",jennaellisesq living denial deny biden clothes president reject,1,0
88,@TheOfficerTatum And I bet 99 percent voted Biden.,theofficertatum bet percent voted biden,1,1
89,"I know Biden won but like, I still kinda want to move to Canada",know biden like still kinda want move canada,1,0
90,@FOX8NOLA I thought I dreamed Biden winning and almost panicked.,fox nola thought dreamed biden winning almost panicked,1,0
91,"Fox News: Michelle Obama congratulates Biden and Harris, adds dig at Trump.
https://t.co/wy6ptJukrc

via @GoogleNews",fox news michelle obama congratulates biden harris add dig trump via googlenews,0,2
92,@thomrayne @atensnut You can’t actually believe Biden will be sworn in???? 🤣🤣🤣,thomrayne atensnut actually believe biden sworn,1,0
93,@88_leanna @RexChapman Biden is not officially voted in as President by the Electoral College yet.  That doesn't happen for like 10 days.  Then THAT had to be certified by the new Congress which doesn't get sworn in until the first week of January.  That's when they give the official 2 weeks notice,leanna rexchapman biden not officially voted president electoral college yet happen like day certified new congress get sworn first week january give official week notice,1,0
94,"@HavokRayne @RozeRage @RickTemple14 @LibsIllegals @AngelaBelcamino @JoeBiden @KamalaHarris Biden is ineligible to be president or even a postman because he has dementia, and everyone who thinks otherwise is a hypocrite or stupid.",havokrayne rozerage ricktemple libsillegals angelabelcamino joebiden kamalaharris biden ineligible president even postman dementia everyone think otherwise hypocrite stupid,1,0
95,Trump’s Day Just Got Worse As Kellyanne Conway Seems To Acknowledge Biden As The Apparent Winner https://t.co/glEbEr7bUE via @PoliTribune,trump day got worse kellyanne conway seems acknowledge biden apparent winner via politribune,0,2
96,@AP Biden is not President-elect. You are wasting everyone’s time.,ap biden not president elect wasting everyone time,1,0
97,@LibertarianTn @SusanCollinsFan @NikkiHaleyfan93 @LoefflerFan God I loved me some Nikki Haley when she was Gov and they had to go stick her into foreign affairs. She’d beat Biden though.,libertariantn susancollinsfan nikkihaleyfan loefflerfan god loved nikki haley gov go stick foreign affair beat biden though,1,0
98,"@Acosta He is transferring to the Biden basement, thanks for the update ball bagger",acosta transferring biden basement thanks update ball bagger,0,2
99,My Dog for President embroidered toilet paper on #Etsy https://t.co/OKaBHjIs7P homedecor gifts giftideas gaggifts jokes crafts handmade shopsmall smallbiz embroidered humor PresidentTrump Trump Biden Election Vote Harris Pence #craftychaching,dog president embroidered toilet paper etsy homedecor gift giftideas gaggifts joke craft handmade shopsmall smallbiz humor presidenttrump trump biden election vote harris penny craftychaching,0,2
100,"Hear a special podcast episode w/Adriane Casalotti, Chief of Government &amp; Public Affairs &amp; @iangolds as they discuss @NACCHOalerts transition docs for the incoming Biden Administration &amp; the 117th Congress. #2020election #publichealth #transition. https://t.co/bIys8J9NSV https://t.co/Z0M9aAbAWy",hear special podcast episode w adriane casalotti chief government amp public affair iangolds discus nacchoalerts transition doc incoming biden administration th congress election publichealth,0,2
101,"@GottaLaff Having Biden at the top of the ticket hurt Democrats, not a lack of bothering strangers.",gottalaff biden top ticket hurt democrat not lack bothering stranger,1,0
102,@realDonaldTrump Thank.  President-Elect.  Biden!,realdonaldtrump thank president elect biden,1,1
103,"Biden could make the same baseless claims of voter fraud in states Trump won. And should if Trump gets legislators to somehow take back certifications. Unless the GOP puts its foot down with Trump, this could go on &amp; on. But term of office is over Jan 20. https://t.co/edFSS3Dtly",biden could make baseless claim voter fraud state trump get legislator somehow take back certification unless gop put foot go amp term office jan,1,0
104,I think it would be wonderful if Trump didn't go to Biden's inauguration. With Trump there it would lower the prestige of the ceremony.,think would wonderful trump go biden inauguration lower prestige ceremony,1,1
105,"@conservativeMMA @dennisdriscoll7 @staceys5551 @Jim_Jordan Proof Biden won: 51 certified election results.

What proof that he didn’t does the Trump Team have? “Affidavits” are testimony, not evidence. Courts have tossed the cases due to lack of credible EVIDENCE. So, the answer in the real world (court documents, not the MSM) is NONE.",conservativemma dennisdriscoll staceys jim jordan proof biden certified election result trump team affidavit testimony not evidence court tossed case due lack credible answer real world court document msm none,1,1
106,@realDonaldTrump But you can’t claim credit for it! It Biden’s win!!!!,realdonaldtrump claim credit biden win,1,1
107,"@C_Line723 @newheights17 @TheRightMelissa The msm, the Demonrats, oh and don’t forget, Biden’s butt buddy, Xi!  NOW you know who “they” are!",c line newheights therightmelissa msm demonrats oh forget biden butt buddy xi know,1,0
108,what’s joe biden’s plan to get rid of ME,joe biden plan get rid,1,0
109,Yes!  It is the Biden Bump!,yes biden bump,1,0
110,"@ChuckCallesto Biden's world has now started...lol...😂

And you must be aBiden by the rules...😉",chuckcallesto biden world started lol must abiden rule,1,0
111,@AdamParkhomenko @realDonaldTrump President (elect) Joe Biden ROCKS!,adamparkhomenko realdonaldtrump president elect joe biden rock,1,1
112,"@EmeraldRobinson The holiest of Biden, if he's 'really' a Christian would call this election like it is 'a fraud'!
But of course the demons have possessed him and his cabal of corrupt cohorts.",emeraldrobinson holiest biden really christian would call election like fraud course demon possessed cabal corrupt cohort,1,0
113,David Perdue appears to tacitly acknowledge Biden’s victory in video call with Republican group https://t.co/iCGAU3lkDC,david perdue appears tacitly acknowledge biden victory video call republican group,0,2
114,"@GarethJo @YFNAtheist @SUBRATA30016572 @realDonaldTrump @OANN Chicken obviously come on... Pallets full of ballots for Joe Biiiidennn sing it with me now! Pallets full of PALLETS FOR JOE BIIIDEN Joe ""Robbinette"" Biden Jr  Robbin it and got caught hehe",garethjo yfnatheist subrata realdonaldtrump oann chicken obviously come pallet full ballot joe biden sing robbinette jr robbin got caught hehe,1,0
115,@NatalieJHarp We’re all the Votes for Trump? Nope all for Biden!,nataliejharp vote trump nope biden,1,1
116,"@ChuckCallesto @truthteller1961 LYING, CHEATING, BIDEN WILL NEVER BE MY PRESIDENT!",chuckcallesto truthteller lying cheating biden never president,1,0
117,Count me as a strong supporter of Joe Biden's one hundred day mask requirement.,count strong supporter joe biden one hundred day mask requirement,1,1
118,"@semaj_drof @emolaborunion @LeftyCrypto Dan Quayle did not resign from the Senate until Jan 3rd.
Al Gore did not resign from the Senate until Jan 3rd.
Joe Biden did not resign from the Senate until Jan 3rd.",semaj drof emolaborunion leftycrypto dan quayle not resign senate jan rd al gore joe biden,1,0
119,"@GavinNewsom @senatemajldr I think it should be included in the CARES act that you have to acknowledge President-elect Biden. And get money in the hands of people. So that way if you won't do the first thing, then you MUST do the second.",gavinnewsom senatemajldr think included care act acknowledge president elect biden get money hand people way first thing must second,1,1
120,REP. JORDAN: Biden is connected to this https://t.co/MkivW0fjIH via @YouTube,rep jordan biden connected via youtube,0,2
121,Biden  did  not  win  this  election.  They  are  cocksuckers,biden not win election cocksucker,1,0
122,"I like Dr. Fauci, but I am discouraged by the fact that he let Trump overrule the science while he stayed silent. He should have spoke up
Biden will ask Americans to wear masks for his first 100 days and says he's asked Fauci to be a chief medical adviser

https://t.co/pmaO1tOw0S",like dr fauci discouraged fact let trump overrule science stayed silent spoke biden ask american wear mask first day say asked chief medical adviser,0,2
123,@realDonaldTrump Thank you to Joe Biden for kicking Donald Trump’s ass!,realdonaldtrump thank joe biden kicking donald trump as,1,1
124,"@JustinGrayWSB @wsbtv So... the narrative is shifting from ""Nothing to see here"", to ""Deny, Deny, Deny""? Perhaps your new bestie Gabriel Sterling can ""explain"" the simultaneous spike in votes for Biden?",justingraywsb wsbtv narrative shifting nothing see deny perhaps new bestie gabriel sterling explain simultaneous spike vote biden,1,0
125,“We are going to leave trump behind and not right for him... I know you want us to but we are ready to work with Biden... make sure you vote for us you clowns” -@GOP @GOPChairwoman,going leave trump behind not right know want u ready work biden make sure vote clown gop gopchairwoman,1,1
126,"Among first acts, Biden to call for 100 days of mask-wearing  https://t.co/bDdtGFuRBW",among first act biden call day mask wearing,0,2
127,"@100_shades @Barnes_Law If not the congress under Biden sure as hell never will.

This may be the end of the republic if they can't.   No criminal AND no civil.  Checkmate.",shade barnes law not congress biden sure hell never may end republic criminal civil checkmate,1,0
128,"@uberpreeya @jonhawkins Also, I think Biden's on the record as being opposed to it, so I wouldn't assume he'd sign it if it passes.",uberpreeya jonhawkins also think biden record opposed assume sign pass,0,2
129,"@Disabled_Vet_US @williamlegate @realDonaldTrump As a real disabled vet that was not a service to our country, and Biden lost, as has been revealed and will soon be obvious to you disillusioned so called Americans. The true Americans actually won!",disabled vet u williamlegate realdonaldtrump real not service country biden lost revealed soon obvious disillusioned called american true actually,1,0
130,@bjuslivn @DestructiveChem @Wizard_Predicts @jbinnall I think it was actually 3%. Ppl from dominion explained how they fractionized the votes by half. In essence biden got 1 vote but Trump got half. Today it's Trump for the right. Tomorrow is someone else 4 the left. That means we r not choosing any more...,bjuslivn destructivechem wizard predicts jbinnall think actually ppl dominion explained fractionized vote half essence biden got vote trump today right tomorrow someone else left mean r not choosing,1,0
131,"@DearAuntCrabby Problem is, when the POTUS accoynt is changed fir Joe Biden, all those tweets they copied from trump's page will still be there. Anyone new to twitter in February will automatically think Biden wrote them.",dearauntcrabby problem potus accoynt changed fir joe biden tweet copied trump page still anyone new twitter february automatically think wrote,1,0
132,@GinaYSmith @business @POTUS @Mike_Pence Thats cute to say brain dead Biden and leadership in the same context. He's accomplished nothing in 47 years except to get elected by democrats. Sad,ginaysmith business potus mike penny thats cute say brain dead biden leadership context accomplished nothing year except get elected democrat sad,1,0
133,@AlistairHaimes Not numpty. Evil.  Biden supporting Trump hater. Happy to see people carry on dying rather than approve in USA. Found out so wrong footed and talking garbage to try to cover himself. All politics.,alistairhaimes not numpty evil biden supporting trump hater happy see people carry dying rather approve usa found wrong footed talking garbage try cover politics,1,0
134,"CNN Exclusive: Biden says he will ask Americans to wear masks for the first 100 days he's in office

https://t.co/PdBCrdYm1w",cnn exclusive biden say ask american wear mask first day office,0,2
135,"@realDonaldTrump Everyone is excited about Jan 20, 2021 because Biden gets into office! That's why it's so high. Also other world leaders are calling you a 🤡!...🤭 🇺🇸🇺🇸BIDEN 2021🇺🇸🇺🇸",realdonaldtrump everyone excited jan biden get office high also world leader calling,1,1
136,@butterflyroxk Go biden you do that ring h,butterflyroxk go biden ring h,1,1
137,@MsAvaArmstrong Don’t say Joe Biden he couldn’t plan a picnic 🧺😎,msavaarmstrong say joe biden plan picnic,1,0
138,@realDonaldTrump That's because Biden is going to be president.,realdonaldtrump biden going president,1,1
139,"Tonight in the JFK Jr. Forum —

@ashleyrallison, @PeterHamby, @nseufot, and @dellavolpe discuss Biden-Harris’ youth outreach strategy and ways the Democrats can continue the youth wave to win the Georgia Senate runoff.

Join the conversation at 6pm ET ⤵ https://t.co/OB4CzFpp6U",tonight jfk jr forum ashleyrallison peterhamby nseufot dellavolpe discus biden harris youth outreach strategy way democrat continue wave win georgia senate runoff join conversation pm et,0,2
