,raw_text,subjectivity,polarity
60,@realDonaldTrump actually Biden is already the president.  thank God,1,1
61,@RealMattCouch Actual footage taken just before Joe Biden fell https://t.co/eoW7uWcMDV,1,0
62,The size of Joe Biden’s victory matters. And it is huge. https://t.co/HHAMWKeODu,1,1
63,@realDonaldTrump We did that is why we voted Biden.,1,1
64,@therecount @abbydphillip Who in the hell cares?  Why don't you ask McConnell if he's talked to Biden? How about McConnell stating that Biden is in fact the President-Elect?,0,2
65,@TheRickWilson Funny how the left wing thinks Biden’s picks are all greedy corporate shills and the far right thinks they’re all commies who want to destroy big business. We’re living in the “Upside Down.”,0,2
66,"@ErrorTruth @dustydavis_ @DrOakley1689 Let’s be peacemakers, starting with each other. Setting out eyes on Christ, not Biden or Trump.",0,2
67,"@ShaneGoldmacher Dang! 

Yet some people who voted for Biden forgot they weren’t supposed vote for Collins too. It was split ticketing.",1,0
68,@realDonaldTrump Tweeter should ban you smh you stole the election from Hillary and joe Biden will be the president next yr can’t wait💃🏾💃🏾💃🏾💃🏾💃🏾,1,1
69,"@realDonaldTrump As you once said, gains must be judged from the day after the Election, so thank you Biden.",1,1
70,"Joseph Biden, president elect of the US of A",1,1
71,"@DailyCaller Omg! It’s already been way over 100 days already. So glad Biden won’t be POTUS, so no worries there🙏🏻🇺🇸❤️",1,0
72,@DannyKlotz @DonaldJTrumpJr Strangely then all the dead covid victims voted for Biden. Weird!,1,0
73,"@CyberdyneSyst13 @itsmagg26528701 @Kolas_Yotaka @formosanafro I’m not denying Cruz supports Taiwan - it’s the one and only good thing about him!

Please stop presenting Taiwan as a left/right US issue. It doesn’t help TW if you argue it like that. TW needs both.

The US supports TW with a GOP president, and will continue to do so with Biden",1,1
74,"@JB87166184 @ImTheAssistMan @realDonaldTrump Thank you for the common sense. The if their was voter fraud. We would see it in a bigger scale and the electoral vote count to Biden would of been higher. He would win states like TX, FL and also why wasn’t the senate flipped",1,0
75,Thank God it won't be long!  Biden will have them replaced! The Pentagon isn't a McDonald's Playland!,1,1
76,"@RealMattCouch I wonder how long this poor bastard would live during a ""God forbidden""
Biden admin.",1,0
77,@realDonaldTrump Thank you Biden!!!!,1,1
78,"@TIME @efelsenthal I was recently shocked to see that you published the magazine as below with SJ Biden noted as President. WTF? Biden is not and never will be the Pres. of America. You 🤡’s need to understand that 80,000 Americans voted @realDonaldTrump and you are FAKE News!! https://t.co/fr69DLUkHi",1,0
79,CNN Exclusive: Biden says he will ask Americans to wear masks for the first 100 days he's in office - CNN Politics https://t.co/LCfwQqqsSe,0,2
80,"@LightworkerCain We are cloning an army of Fuscii for the Deep State, patriot. Have no fear. President Biden will fix everything.

Trus d Plan",1,1
81,@realDonaldTrump STOCK MARKET LOVES JOE BIDEN. THANKS @JoeBiden,1,1
82,"She @briebriejoy be like: I will go to all the right-wing shows, including Saagar, @megynkelly, Fox News to attack Biden and Dems, not saying a single word for Trump and GOP. Next stops: Newsmax and OAN",1,0
83,@HerschelWalker @mschlapp @BrianKempGA Keep tagging Joe Biden and Kamala Harris in this!   Tell them they are done!!,1,0
84,@realDonaldTrump I thought it was gonna plummet if Biden was elected?,1,1
85,Green bank advocates hope Biden win can help reinvigorate idea in Minnesota https://t.co/QKkQMuge9B,1,1
86,Biden Steals Trump&amp;#8217;s &amp;#8216;America First&amp;#8217; Slogan in New Interview via @WestJournalism https://t.co/x1INgkb1wz,1,0
87,"@JennaEllisEsq They are all living in denial.  They all deny that Biden has no clothes on. 

 The President-reject Has No Clothes On.",1,0
88,@TheOfficerTatum And I bet 99 percent voted Biden.,1,1
89,"I know Biden won but like, I still kinda want to move to Canada",1,0
90,@FOX8NOLA I thought I dreamed Biden winning and almost panicked.,1,0
91,"Fox News: Michelle Obama congratulates Biden and Harris, adds dig at Trump.
https://t.co/wy6ptJukrc

via @GoogleNews",0,2
92,@thomrayne @atensnut You can’t actually believe Biden will be sworn in???? 🤣🤣🤣,1,0
93,@88_leanna @RexChapman Biden is not officially voted in as President by the Electoral College yet.  That doesn't happen for like 10 days.  Then THAT had to be certified by the new Congress which doesn't get sworn in until the first week of January.  That's when they give the official 2 weeks notice,1,0
94,"@HavokRayne @RozeRage @RickTemple14 @LibsIllegals @AngelaBelcamino @JoeBiden @KamalaHarris Biden is ineligible to be president or even a postman because he has dementia, and everyone who thinks otherwise is a hypocrite or stupid.",1,0
95,Trump’s Day Just Got Worse As Kellyanne Conway Seems To Acknowledge Biden As The Apparent Winner https://t.co/glEbEr7bUE via @PoliTribune,0,2
96,@AP Biden is not President-elect. You are wasting everyone’s time.,1,0
97,@LibertarianTn @SusanCollinsFan @NikkiHaleyfan93 @LoefflerFan God I loved me some Nikki Haley when she was Gov and they had to go stick her into foreign affairs. She’d beat Biden though.,1,0
98,"@Acosta He is transferring to the Biden basement, thanks for the update ball bagger",0,2
99,My Dog for President embroidered toilet paper on #Etsy https://t.co/OKaBHjIs7P homedecor gifts giftideas gaggifts jokes crafts handmade shopsmall smallbiz embroidered humor PresidentTrump Trump Biden Election Vote Harris Pence #craftychaching,0,2
100,"Hear a special podcast episode w/Adriane Casalotti, Chief of Government &amp; Public Affairs &amp; @iangolds as they discuss @NACCHOalerts transition docs for the incoming Biden Administration &amp; the 117th Congress. #2020election #publichealth #transition. https://t.co/bIys8J9NSV https://t.co/Z0M9aAbAWy",0,2
101,"@GottaLaff Having Biden at the top of the ticket hurt Democrats, not a lack of bothering strangers.",1,0
102,@realDonaldTrump Thank.  President-Elect.  Biden!,1,1
103,"Biden could make the same baseless claims of voter fraud in states Trump won. And should if Trump gets legislators to somehow take back certifications. Unless the GOP puts its foot down with Trump, this could go on &amp; on. But term of office is over Jan 20. https://t.co/edFSS3Dtly",1,0
104,I think it would be wonderful if Trump didn't go to Biden's inauguration. With Trump there it would lower the prestige of the ceremony.,1,1
105,"@conservativeMMA @dennisdriscoll7 @staceys5551 @Jim_Jordan Proof Biden won: 51 certified election results.

What proof that he didn’t does the Trump Team have? “Affidavits” are testimony, not evidence. Courts have tossed the cases due to lack of credible EVIDENCE. So, the answer in the real world (court documents, not the MSM) is NONE.",1,1
106,@realDonaldTrump But you can’t claim credit for it! It Biden’s win!!!!,1,1
107,"@C_Line723 @newheights17 @TheRightMelissa The msm, the Demonrats, oh and don’t forget, Biden’s butt buddy, Xi!  NOW you know who “they” are!",1,0
108,what’s joe biden’s plan to get rid of ME,1,0
109,Yes!  It is the Biden Bump!,1,0
110,"@ChuckCallesto Biden's world has now started...lol...😂

And you must be aBiden by the rules...😉",1,0
111,@AdamParkhomenko @realDonaldTrump President (elect) Joe Biden ROCKS!,1,1
112,"@EmeraldRobinson The holiest of Biden, if he's 'really' a Christian would call this election like it is 'a fraud'!
But of course the demons have possessed him and his cabal of corrupt cohorts.",1,0
113,David Perdue appears to tacitly acknowledge Biden’s victory in video call with Republican group https://t.co/iCGAU3lkDC,0,2
114,"@GarethJo @YFNAtheist @SUBRATA30016572 @realDonaldTrump @OANN Chicken obviously come on... Pallets full of ballots for Joe Biiiidennn sing it with me now! Pallets full of PALLETS FOR JOE BIIIDEN Joe ""Robbinette"" Biden Jr  Robbin it and got caught hehe",1,0
115,@NatalieJHarp We’re all the Votes for Trump? Nope all for Biden!,1,1
116,"@ChuckCallesto @truthteller1961 LYING, CHEATING, BIDEN WILL NEVER BE MY PRESIDENT!",1,0
117,Count me as a strong supporter of Joe Biden's one hundred day mask requirement.,1,1
118,"@semaj_drof @emolaborunion @LeftyCrypto Dan Quayle did not resign from the Senate until Jan 3rd.
Al Gore did not resign from the Senate until Jan 3rd.
Joe Biden did not resign from the Senate until Jan 3rd.",1,0
119,"@GavinNewsom @senatemajldr I think it should be included in the CARES act that you have to acknowledge President-elect Biden. And get money in the hands of people. So that way if you won't do the first thing, then you MUST do the second.",1,1
120,REP. JORDAN: Biden is connected to this https://t.co/MkivW0fjIH via @YouTube,0,2
121,Biden  did  not  win  this  election.  They  are  cocksuckers,1,0
122,"I like Dr. Fauci, but I am discouraged by the fact that he let Trump overrule the science while he stayed silent. He should have spoke up
Biden will ask Americans to wear masks for his first 100 days and says he's asked Fauci to be a chief medical adviser

https://t.co/pmaO1tOw0S",0,2
123,@realDonaldTrump Thank you to Joe Biden for kicking Donald Trump’s ass!,1,1
124,"@JustinGrayWSB @wsbtv So... the narrative is shifting from ""Nothing to see here"", to ""Deny, Deny, Deny""? Perhaps your new bestie Gabriel Sterling can ""explain"" the simultaneous spike in votes for Biden?",1,0
125,“We are going to leave trump behind and not right for him... I know you want us to but we are ready to work with Biden... make sure you vote for us you clowns” -@GOP @GOPChairwoman,1,1
126,"Among first acts, Biden to call for 100 days of mask-wearing  https://t.co/bDdtGFuRBW",0,2
127,"@100_shades @Barnes_Law If not the congress under Biden sure as hell never will.

This may be the end of the republic if they can't.   No criminal AND no civil.  Checkmate.",1,0
128,"@uberpreeya @jonhawkins Also, I think Biden's on the record as being opposed to it, so I wouldn't assume he'd sign it if it passes.",0,2
129,"@Disabled_Vet_US @williamlegate @realDonaldTrump As a real disabled vet that was not a service to our country, and Biden lost, as has been revealed and will soon be obvious to you disillusioned so called Americans. The true Americans actually won!",1,0
130,@bjuslivn @DestructiveChem @Wizard_Predicts @jbinnall I think it was actually 3%. Ppl from dominion explained how they fractionized the votes by half. In essence biden got 1 vote but Trump got half. Today it's Trump for the right. Tomorrow is someone else 4 the left. That means we r not choosing any more...,1,0
131,"@DearAuntCrabby Problem is, when the POTUS accoynt is changed fir Joe Biden, all those tweets they copied from trump's page will still be there. Anyone new to twitter in February will automatically think Biden wrote them.",1,0
132,@GinaYSmith @business @POTUS @Mike_Pence Thats cute to say brain dead Biden and leadership in the same context. He's accomplished nothing in 47 years except to get elected by democrats. Sad,1,0
133,@AlistairHaimes Not numpty. Evil.  Biden supporting Trump hater. Happy to see people carry on dying rather than approve in USA. Found out so wrong footed and talking garbage to try to cover himself. All politics.,1,0
134,"CNN Exclusive: Biden says he will ask Americans to wear masks for the first 100 days he's in office

https://t.co/PdBCrdYm1w",0,2
135,"@realDonaldTrump Everyone is excited about Jan 20, 2021 because Biden gets into office! That's why it's so high. Also other world leaders are calling you a 🤡!...🤭 🇺🇸🇺🇸BIDEN 2021🇺🇸🇺🇸",1,1
136,@butterflyroxk Go biden you do that ring h,1,1
137,@MsAvaArmstrong Don’t say Joe Biden he couldn’t plan a picnic 🧺😎,1,0
138,@realDonaldTrump That's because Biden is going to be president.,1,1
139,"Tonight in the JFK Jr. Forum —

@ashleyrallison, @PeterHamby, @nseufot, and @dellavolpe discuss Biden-Harris’ youth outreach strategy and ways the Democrats can continue the youth wave to win the Georgia Senate runoff.

Join the conversation at 6pm ET ⤵ https://t.co/OB4CzFpp6U",0,2
140,Joe Biden said he will ask Americans to commit to 100 days of wearing masks as one of his first acts as president. What are your thoughts on this? Do you think this will work? https://t.co/6k5cZQ2nrr https://t.co/mUR48Qmww4,0,2
141,"@realDonaldTrump BECAUSE THE MARKET LOVES BIDEN not you, you covidiot",1,1
142,"@KateMartinell11 @kromexstylez @realDonaldTrump That’s  what I want to know ; why are these losers on this page? Maybe Biden is resting or maybe he’s having a mental break down !! All the fraud will be discovered and you should start hiding as of now . They’re a disgrace , they resorted to have even the dead cast a vote !!",1,0
143,"@mikefm1946 @LeahR77 @PatriotGeorgia More likely, people will keep squealing complete and utter untruths and conspiracies. And nothing will actually happen besides Biden being sworn in...",1,1
144,"@realDonaldTrump If Biden wins, the stock market will crash! — Donald Trump",1,0
145,"@SunLoverGirl2 @ali I’m surprised you really believed your “fraud” cry would prosper. There’s no fraud, we abhor your cult leader, we voted for Biden and outnumbered you by 7 million. Time to let it sink in.",1,1
146,@seanhannity Same thing that's wrong with Biden...dementia...my mom had it and did the exact thing!,1,0
147,"@GloriaBorger Hi Gloria I have a question to ask what if Trump decides to come back after 4yrs that means he has nothing to worry about because Mr Biden took care of everything, then what hopefully he doesn't come back.",1,1
148,The Wisconsin Supreme Court on Thursday refused to hear President Donald Trump’s lawsuit attempting to overturn his loss to Democrat Joe Biden in the battleground state. https://t.co/SwRcnuwnl4,0,2
149,"@realDonaldTrump It is because of President Biden's AWESOME, TRUTHFUL, AND INSPIRING PRESS CONFERENCE.",1,1
150,"In Bizarre Interview, #Biden Jokes He Would 'Fake Illness And Resign' Over Disagreement / good news he doesnt need to fake it , bad news he is alrdy dementing https://t.co/167JRAZKLO",1,0
151,@darinpgood6 @DailyCaller Joe Biden is following the science. I am a trained nurse.,1,1
152,"@KLoeffler @GOPChairwoman @ReverendWarnock @staceyabrams Good luck, the democrats have proven they will stop at nothing, cheat steal lie, even murder....it is good against evil! Biden could not win an election against Pee Wee Herman but had more votes than Obama LMAO!",1,0
153,Pentagon blocks visits to military spy agencies by Biden transition team https://t.co/LOnQk59dRB,0,2
154,@bert_gilfoyle @ChidiNwatu @Acosta Biden is a corrupt POS and so far he might be president,1,0
155,"@ImNotOwned Things are also marked up on campaign sites. That’s kind of the idea.

My Biden sign yard cost $35.",0,2
156,@FGrissle @RudyGiuliani The objective reality is that Biden won.,1,1
157,"Biden should do whatever it takes to break those leases and he should make it clear now, so any bidders can be forewarned. Drilling in the arctic is not in the national interest.",1,1
158,@lloydhopkins13 @JoeBiden @Janesophy01 Biden Harris =Chinese communist party https://t.co/iJcO0Pc6Dt,1,0
159,@realDonaldTrump Because Biden will be president.,1,1
160,Biden warns of ‘very bleak’ future following ‘dire’ jobs report https://t.co/xz3ulGBd2N,0,2
161,"@theage Biden appeals, says he'll be vaccinated, allows a party of 900 inside the white house. Right on.",1,1
162,"A good idea--this is leadership. Think how different it would be today if #Trump had told Americans to wear masks &amp; worn one himself--instead criminal, callous indifference.
#Biden says he will ask Americans to wear masks for his first 100 days as #POTUS.
https://t.co/ONYpevWrEU",1,1
163,@realDonaldTrump Sorry @Loser 45. But thanks in advance for adding votes to Pres Elect Biden with this stunt. How much do you expect to pocket on fund raising on this BS?,1,1
164,@realDonaldTrump Only because we have a new president now. You may have heard of him his name is Joe Biden. He will be inaugurated on 1/20/21/ This coincides with your leaving the WH.,1,1
165,"Biden will come for your guns, Trump won't!!!! https://t.co/QKejgDDALm",1,0
166,Joe Biden’s policy of the “return to the normal” would be inadequate to decisively defeat Trumpism. https://t.co/hjBikwXhdb,1,1
167,Timing of Large Georgia Ballot Dump for Biden Appears to Coincide with Timing of Mother-Daughter Duo's Election Fraud Scam via @gatewaypundit https://t.co/NL6xrcBD7u,1,0
168,"President-elect Biden has an opportunity to unite the country. While so many other issues are divisive, Americans agree that it's time to fix our broken political system.

Add your name: tell Biden to make fighting corruption his first priority. https://t.co/e2RR2vHj4t",1,1
169,@SchmittNYC @newsmax @realDonaldTrump We know you would never cover a Biden rally.   LOL,1,0
170,I just signed a petition: President-elect Joe Biden &amp; Congress must enact democracy reform. Sign here: https://t.co/vSo4jgv5fc,0,2
171,@AOC Did you have them fill out a bunch of bullshit ballots for Biden,1,0
172,"@RudyGiuliani It’s game over that video shows the cookie cutter operation that went on there and also in the other 5 states. Stop counting, send everyone home, pull out suitcases of ballots and resume counting the illegal Biden ballots.",1,0
173,"If a normal 74-year old relative acted like this, most loving spouses/children/other family would be taking him/her to the doctors immediately! 
Trump reportedly won't attend Biden's inauguration or invite Biden family to White House https://t.co/omOh66YxV1",0,2
174,Thus the reason Biden was getting crushed while the primary was about policies. Thankfully the media went all in on making the election completely devoid of anything resembling policy or what Biden will do on office.,1,0
175,"Just in Biden: $1,200 Checks ‘May Still Be In Play’ In Stimulus Deal https://t.co/IvpRfJN7y7 via @AJBCSurveys #trending #breakingnews https://t.co/y9x7HTNzmM",0,2
176,"@aW12575461 @GenX53585433 @thebradfordfile The proceedings are over. 1-40 the courts. 

No fraud. Time to wake up. 

trump lost. Biden won in a landslide by 7 million votes.",1,1
177,KERIK: Biden Received 'Mathematically Impossible' Spike in Votes When Suspicious Ballots Counted in Georgia https://t.co/DDoHhqxsfS,1,0
178,President-elect Joe Biden told CNN's Jake Tapper on Thursday that he will ask Americans to wear masks for his first 100 days after he takes office.,0,2
179,@Chrismcclorey2 @BernardKerik They're only going to find more votes for Biden  🤣,1,0
180,Delusional leftists trend ‘Biden vaccine’ as President Trump’s 'Operation Warp Speed' prepares to deliver https://t.co/ehIv9oWyx6,0,2
181,@CNNPolitics @cnnbrk lol the vaccine will kill Biden,1,0
182,"@realDonaldTrump @OANN you know, maybe your cult members are too stupid to know what was happening months ago with what you did to the USPS but not everyone has amnesia. you PURPOSEFULLY did this to stop mail in ballots majority for biden to not be counted https://t.co/9woPR0Fy0m",1,0
183,@realDonaldTrump Thank president elect Biden.,1,1
184,@zerohedge Ill wear a mask if Biden can put one on all by himself.,1,0
185,@Trust333333 @DC_Draino This isn’t a “Republican” issue. How many big corps donated to and voted for Biden?  This is an establishment problem on both sides. I’m a Trump voter and I’m sick of the corporate welfare. Give to small biz and individuals and the hell with the Walmart’s of the world,1,0
186,"@RichardKNaidu Re-watching the US President-Elect and Vice-President Elect first joint interview, and Biden cited his administration’s pursuit of closer ties with the Pacific; so the move to loosen the region’s relationship with China by both Australia and the USA is an avid geopolitical focus",0,2
187,@TimRunsHisMouth Joe Biden,0,2
188,@WayneDupreeShow @2AvocadoTrees Considering the “crowds” at Biden speeches how big would an inauguration crowd be? At least 80 cars maybe?,0,2
189,@realDonaldTrump Where’s rhe Biden crash?,1,0
190,I can hear Biden in my head saying “if you ain’t cheatin you ain’t tryin”,1,0
191,"@Tomboliko @the_resistor @realDonaldTrump Hillary just didn't cheat enough last time. 

This time, Biden cheated too much. 

He couldn't afford to loose. Stopping the count simultaneously in several states was obvious enough that more than half of the country understands that the election was stolen.",1,0
192,Who is Biden’s pick going to be for AG?,0,2
193,@realDonaldTrump THE MARKET LOVES A BIDEN PRESIDENCY!!!,1,1
194,@mariace57 @dennisdaley1 @realDonaldTrump So much respect for our fallen soldier too! I still cant believe Biden said that we dont want the soldiers who got captured bc theyre weak. We only want the good ones back.,1,0
195,"@MisterBlackPill So the ""5.9% swing against Trump"" is just the votes that filtered into Biden with no gay lolberts or green candidates on the ticket.",1,1
196,"President-elect Joe Biden will ask Americans to wear masks for his first 100 days in office. Plus, he's asked Dr. Anthony Fauci to stay on, and optimism is growing for a relief deal in Congress. Here's the latest. https://t.co/TS1UOcp3xO",0,2
197,@ArchiePurple Everything Trimble complains about has applied throughout the duration of the GFA. The WA preserves the status quo. Biden and the EU understand that.,1,1
198,"@PalmerReport 45,000 votes man. That’s the difference between a Biden 7+ million vote win electoral college loss.",0,2
199,@a_outlaw4 @THeinrich22 Except that Biden didn't lose.,1,1
200,"@jimmyofflagstaf @realDonaldTrump @CoachLouHoltz88 You ready for Biden to do a complete shut down, KILL economy, put us into the biggest recession in history? Then people die from starvation,  disease from no insurance and depression, suicide. Look at Democrat states from Governors locking down. BUT thats Trumps fault too huh?",1,0
201,@wenewsnow @HijoDeSu2 Where is the real Joe Biden?,1,0
202,@littlecindy71 @stjuice19 @MCTrump2020 @JudahWarrior12 @SidneyPowell1 Wow. All of the intelligent republicans have bowed out because they see that Biden won. We are left with the bottom of the barrel crazy conspiracy theory gullible sheep.,1,0
203,President-elect Joe Biden is predicting a “bleak future” if Congress doesn't take speedy action on an aid bill amid a nationwide spike in the virus that's hampering the country's economic recovery. https://t.co/3a2XSk2DK0,0,2
204,Biden says Dr. Anthony Fauci will be chief medical adviser https://t.co/UHSMWm3nfr https://t.co/w98ULrWmmd,0,2
