ID,Tweet Text,Sentiment
66,smoke mirror time enough distribute vaccine steal credit cure tsk biden keep going plus not prez,negative
67,stop press biden made big decision,negative
68,democratic concern morell torture scramble biden cia decision yup approve especially hunting beheaded american oppose take head sand,negative
69,n savvy omg seriously like biden steal something not ever get stuff word degenerate,negative
70,not trying biden used car salesperson tried lemon last month sick people,negative
71,biden team continue disrespecting hispanic hispanic caucus unhappy transition treatment lujan grisham,negative
72,biden thought omb like fuck activist voted installing worse option insulting,negative
73,lying gave election defeat embarrassed screaming fraud not gon na work year demonstrate leadership failed badly blame martian antifa biden clinton virus,negative
74,understand n agree w need keep pointing stuff biden would end america amp globalist tyranny want trump pres,negative
75,jedi ransom witness blatant fraud proclaims not enough countinues trusting system smell like brainwashed biden supporter,negative
76,watch dr shiva lay case massive election fraud video patriot outlook ayyadurai showed way biden statistically caught trump demorat vote came amp,negative
77,biden hired one not president elect named people,negative
78,kicked butt hard biden broke foot,negative
79,opinion biden tricky position come trump investigated,negative
80,actually n want biden anything washington,negative
81,crazy thought obama bowman right,negative
82,vp thinking yet still daze learning mode n need lesson lying cat tongue used know yapper someone silenced maybe squad biden odds,negative
83,joe biden cabinet lost cause left,negative
84,think american people would support confronting china grave doubt around biden,negative
85,biden not elected still counting fake ballot,negative
86,reason ca n get mind wrapped around biden actually president,negative
87,biden not president elect election process even done yet foolish count chicken hatched,negative
88,biden not bring congress together pas multiple stimuluschecks term see worst stock market crash history trump win landslide tgj,negative
89,biden harris dnc plan screw ice cube black voter god ga run election people impose penalty stay home not vote,negative
90,biden trash top ticket toxic af w lower approval trump amp denying stimulus b election ya dumped hundred million race u lost ignored others mess not wanted nowhere found,negative
91,mueller investigation knew evidence collision embarked expensive destructive fishing expedition spent yr came empty handed embarrassing sham report le coherent even biden,negative
92,tell damn thing watching hearing joe biden democratic party biggest bunch lying as cheat hope go prison insane,negative
93,nevada fraud dead voter voted multiple time rv camp home thousand fraudulent vote cast possibly enough overturn biden win case take month year investigate,negative
94,amused disturbed fact biden pelosi visibly dementia mitch mcconnell despite clearly rotting away still seems sharp tack,negative
95,biden accuser speaks newsmax tv via tara reade detail story surrounding former vice president joe hypocritical complicit behavior democrat hillary clinton evidence,negative
96,rudy even took scheme court saying evidence not claiming fraud want judge tell legislator mi install elector choose trump despite biden winning ridiculous amp infuriating tired criminal republican,negative
97,trump personal lawyer urged michigan republican activist wednesday pressure even threaten gop controlled legislature step amp award state electoral vote despite democrat joe biden vote victory wtf,negative
98,joe biden getting hot time let make deal barr amp durham r closing final hunt cefc china energy say treasonous activity election trap trump win n end new military tribunal firing squad hanging possible guillotined,negative
99,n done one single investigation even cctv poll station prof fraud actually need see start reporting truth biden conceded bbc would hologram peotus pathetic defundthebbc,negative
100,president elect joe biden urged lawmaker come together interim deal lame duck session congress,negative
101,keep mind democrat ca n win le black vote yet believe joe biden georgia went blue year supposed ability,negative
102,biden seek protect daca notorious republican trying throw wrench plan,negative
103,among first act biden call day mask wearing gon na big fu,negative
104,listened podcast n promote socialist idea absolutely nothing spent attacking biden dems neera tanden,negative
105,absolute embarrassment come say removed society bloody dare disgrace another maga trumper ca n admit defeat face trump finished jan potus biden take office ifs buts,negative
106,clown show continues biden asks fauci serve chief medical advisor covid crisis via,negative
107,biden terrible issue trump shit shittier neofascist proclivity top neoconservative policy many time going go thing,negative
108,somebody please get tiny infantile liar loser psychological help realize joe biden kamala harris go away leave u alone,negative
109,america n choose joe planned election fraud know mainstream medium outlet chosen push narrative biden fair square largely deceiving american public,negative
110,biden keep winning trump must mad jealous,negative
111,biden task force covid need start beginning find much supposedly know fact not trump imagination conspiracy theory thus take vaccine proven gt,negative
112,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
113,reason cherry pick state executive office rather federal legislative even pretend guy every position election cycle opposite biden democrat centrist got smoked,negative
114,actual f going take show election sham god even biden humpers mad cheat fool,negative
115,biden suck chance shove mask,negative
116,hey biden wearing mask already fool day remember many act first one thought,negative
117,hollywood horrified legendary actor warns biden regime deep state tribunal,negative
118,n either worse shape know gut lost hillary biden plus another write in amp rd party voter stupid not,negative
119,year ago american said wanted someone run country like business later sick dying broke amp morally bankrupt job well done wish pe biden could take tomorrow,negative
120,account temporarily unavailable violates twitter medium policy learn,negative
121,biden not president elect quit b left winged propaganda,negative
122,biden administration corrupt committed numerous treason,negative
123,communist dragging foot cheated biden concede,negative
124,dispute communist want leader biden watch freudian slip linked unconscious mind youtube,negative
125,p fuck biden hottest selling mask amazon,negative
126,kathy hard gag old biden cum buddy,negative
127,dozen trump political appointee stay government biden take change name office job duty dump restructure agency,negative
128,wish santa claus would visit bring paper say donald trump president next yr biden celler cry eye kamala hariss shoulder boo hoo,negative
129,biden day mask idiot,negative
130,saying evidence check ballot affidavit play make everything worse get biden whole nonsensical wo n confirm fraud ca done analyze,negative
131,omg wo n cnn say something new video georgia guy work proof aggh worried biden win,negative
132,today second stimulus check trump package bill deal wi via filthy liar dems amp republican biden jumping band wagon nothing pant fire,negative
133,joe biden plagiarized speech plagiarizing work done trump penny piece shit,negative
134,actually biden lost,negative
135,hard earned money eventually confiscated biden socialist country n people get,negative
136,democrat plan make citizen desperate si go biden admin money intentionally starving bankrupting u get budget blew propped federal taxpayer state intentional,negative
137,predicts contribute much lin wood ga certification biden fall state follow suit choice trump win people go atlanta pen work begin reform election prevent least curtail election fraud china punished,negative
138,biden win still talk trump damn sad,negative
139,paying attention going around biden lost fraud arrest already started wake,negative
140,n try make president showing fraud cheating pedo biden committed,negative
141,well need stall vaccine corpse biden get mandate mask wearing national wide take credit covid cure old trick book,negative
142,sorry truly believe noise election issue country calling bullshit stuff pulled hat rudy pose crazy powell woman biden president amp trump still nut,negative
143,cochran sedition treason mentally unstable not mention pretty much stopped job since election anyway might well get fuck white house let real president biden start putting america first fixing everything trump destroyed,negative
144,biden team verge announcing heitkamp last week prompting clyburn come forward criticize lack diversity far cabinet,negative
145,wo n bcuz biden not president trump still think showed u number article detailing remain,negative
146,pretty obvious joe biden democrat liberal elite leftist medium way shape form cheated election cheater gon na cheat,negative
147,illegal vote biden state wisconsin georgia arizona,negative
148,look like china trying remove tension prior biden administration,negative
149,suitcase pulled table poll watcher told leave ballot biden election georgia presidenttrump via u,negative
150,biden bring intelligence back war rock,negative
151,separated migrant kid biden team face hugely complex problem write,negative
152,biden bring intelligence back war rock,negative
153,georgiahearing witness said caught error vote wrongly going joe biden st georgia recount final total ended not initially submitted signed two counter,negative
154,part donald trump past president lying remain office administration turning back lie doj barr gop leader excepted election result state soon electoral college confirm biden winner,negative
155,biden get worst short lived president ever,negative
156,one segment demanded republican vote joe biden cabinet nominee guest voted seven president trump,negative
157,go theory entire election giant sting op im scared future trump realized rig biden nt bother campaign didnt advisor realize checkmate dems rigged w care,negative
158,constitutionally could force everyone voted biden wear mask everywhere big advocate not sure executive step,negative
159,listen patriot took oath poking biden meme total bullshit graf american soldier brother sister nothing definitely not joke,negative
160,said jest locker room year ago another male not actually done female present compare biden touched girl recently year,negative
161,suing biden,negative
162,go prison biden criminal stop projecting,negative
163,whiten biden represents chinese communist yeah right,negative
164,ban trump biden sworn office,negative
165,biden want people wear mask day wtf,negative
166,leader unlike trump destroyed america lack education anything make sense biden clean mess ca n undo k dead american trump b watch pathetic,negative
167,stros u libs like biden prefer cower instead stand currently sit china looking reason goto war australia let exactly reason left n charge,negative
168,johnson problem joe biden worth considering happen cia tell everyone know putin apparent role criminally procuring uk eu leave vote,negative
169,n news absolutely stupid cover shoe biden harris wear,negative
170,joe biden wanted class felony ukraine,negative
171,might find reporter willing interview biden voter instead looking whiney trump,negative
172,biden administration going hurting let another revolution,negative
173,mama doc get lost weed appears cheating election acceptable provided winner seems awfully short sighted would biden want serve term cloud doubt,negative
174,paul court including supreme court not stop coup attempt put communist cheater kamala biden power civil war doubt wear going,negative
175,yes question step need taken reach stateless society also way think changing licensing law via advocacy group plus even harder gun biden classist control policy,negative
176,could video biden discussing plan get fake ballot polling place democrat still would n believe cheated,negative
177,republican especially presidential aspirant describe president elect joe biden nominee socialist practically spit word opinion resorting anti socialism hysteria,negative
178,democrat cute obviously mesmerized fake tv news video proving cheated think biden would ever get vote obama need,negative
179,joe biden look bent restoring chaos border via,negative
180,sound like day christmas million extra vote biden house seat flipping medium outlet censoring supreme court justice sleeping thousand hacked voting machine senator outraged state stolen partridge pear tree,negative
181,american girl doll kid worried biden tax plan,negative
182,whatever happens joe biden n get million vote lost landslide believe forsee changing,negative
183,trump vote n disappear state began counting mail ballot overwhelmingly biden lost early lead work every election red county may come first followed blue watch coverage,negative
184,joe want know jill biden husband foot sore,negative
185,jasonpastrana imagine explaining biden bombed new country last time office compared zero caught petty cult personality game realize,negative
186,rather cursed following biden bed devil,negative
187,biden not relevant anymore like channel cnn proven complicit enemy state dod fbi cia vetting done ass online,negative
188,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
189,sit worked many boomer family biden fascist straight racist truly believe decorum politics racism ok long dog whistled clip like resonates,negative
190,joe biden win electoral college already wtf,negative
191,fuck twitter thing disputed joe biden fraudulent win,negative
192,not happy pissed cheated brazenly open people murder everyone think get biden office,negative
193,biden becomes president jan th noon recommendation talk mr actually listens n play game chuckie,negative
194,america look forward biden harris administration doomed,negative
195,pretty arrogant give think biden many democrat n say take blinder argument not bad worse play well matter trump done want fault,negative
196,email laptop showed joe biden part business dealing company tie ccp well personally meeting oligarch ran burisma denied past,negative
197,brokencampaignpromise get virus control day wearing mask day not science yep punt biden call mask inauguration foxnews,negative
198,got people family saying biden dead voted,negative
199,leaked tape reveal cnn buried hunter biden laptop story news,negative
200,senate republican already opposing neera tanden intended nomination top biden administration budget role citing criticism gop twitter democrat pushing back noting n bothered president trump tweet,negative
201,kill business well family america want though worst economy democrtic state biden u raising tax voted idiot going pay,negative
202,guy n alone heard thousand people swearing election rigged trump apparently well biden got way vote surprise see single state could voted,negative
203,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
204,dumb selfish see proof fraud n even care want dumbass like biden office give money country people million realize left,negative
205,breaking cia cyber crime expert hundred thousand vote flipped president trump joe biden sworn affidavit political war room,negative
206,add bill gate whole family fauci birx biden cuomo mob warren wilhelm deblasio entire clinton gang kamala klan doj fbi first would consider vaccine still say,negative
207,biden trump agree warrant investigation early rule one way another also audio republican fulton county election board member dispute,negative
208,correction headline fraudulent elect biden,negative
209,biden ask american wear mask day many trump fan use not welcome rd th wave,negative
210,statistical analysis n equal fraud especially personal decision voting sort people decided vote biden statistic argument not account,negative
211,lack sign evidence stream thus far argument none particularly supportive trump biden promised remains presented see much bluster substance,negative
212,n care trump biden election broken find funny,negative
213,election fraud not get clear answer nervous biden harris presidency gov,negative
214,guilty hell best gop could get run biden corrupt incompetent criminal grifter fallen,negative
215,facebook twitter abuse power tagging post tweet president trump constant joe biden projected winner dispute claim remark even current seated not talking election showing afraid,negative
216,u b blind not c witch hunt r reporting disgusting try smear amp go trump daughter wife mother working woman hand hunter biden lazy perverted corrupt junkie really afraid,negative
217,trump access hard drive hunter biden laptop nude photo w naomi amp hallie photo copy joe daughter ashley diary stint rehab wrote daddy getting shower adolescent,negative
218,committed fraud several way dead vote would n flipped fkr biden already,negative
219,realize biden never president n fraud uncovered game say hello year trump,negative
220,unfortunately biden also supported repeal election still not wood,negative
221,learned obama biden people administration committed crime,negative
222,acted unprofessional angry tell u know biden cheated georgia behavior obvious psych bidencheated,negative
223,anyone think better choice lying everyone around wonder long take biden harris start new war month year,negative
224,funny joe biden think majority people country give flying fuck tell u,negative
225,given rising sinophobia went find wild anti china coronavirus ad biden month ago tried google autofilled antichrist whole situation n sum america not sure,negative
226,omg n cnn telling u new video georgia guy work say proof aggh worried biden win,negative
227,joe biden told new york time sentiment feature writer wo n quickly eliminate raised duty trump organization forced china expects initially audit current u arrangement,negative
228,month since election know biden not win need concede say good country,negative
229,n example fraud resulting vote switched biden trump happen corruption one side see,negative
230,sound like voted biden hard create many fake ballot sad,negative
231,like dr fauci discouraged fact let trump overrule science stayed silent spoke biden ask american wear mask first day say asked chief medical adviser,negative
232,biden name top economic adviser deese fight climate change job crisis w,negative
233,trapgd talking union single mother teacher relative sick c basic lib politics ha think push biden left,negative
234,whole point many republican including donald trump already predicted long ago biden would step something along line heath reason part evil agenda make kamala president always simple knew,negative
235,n biden quite as,negative
236,birx biden failed,negative
237,maker joe biden n know anything puppet coordinated effort part deep state democrat way going allow someone ca controlled whitehouse,negative
238,fuck sake man unhinged forget biden concentrate trump actually nation not tell sheep use brain research unbiased medium look stats private affair supporting self harm,negative
239,vote labour going year much fraud biden democrat,negative
240,fake news biden not elected anything,negative
241,also sadly believe lot people biden orbit n actually oppose wall draconian immigration measure want president crass make feel bad remember devastating clinton law,negative
242,biden prevails back war,negative
243,want people vote election longer fraudulent admitting joe biden twice three time,negative
244,leaked tape reveal cnn burying hunter biden story,negative
245,chinese know chairman xi not wait anymore congrat biden threatening boat n concede ccp spent purchase dominion make sure canadian ppl say back china american doomed,negative
246,administration biden idiot,negative
247,msm might love biden hate english,negative
248,conservative n told deep state say unsure biden actually getting office magically cure vaccine not wo work literally population mental manipulation tool,negative
249,ca n wait drfauci chief medical advisor president biden exhausted reading schedule,negative
250,yea law broken however n think needed scotus intervene ga evidence including video tape legislator way hell certify anyone let alone biden hopefully trump though,negative
251,think second bad guy revealed prior certain time obama hillary biden would recourse n chaos chaz chop minneapolis riot,negative
252,seriously named various people back let man job n even started yet biden face increasing pressure diversify cabinet,negative
253,watching hearing state legislature fraud real biden not president,negative
254,reverie twisted trumpanzee logic right know inauguration january th biden not president yet dotard n worry unlike trump cult member every bit hard democrat,negative
255,bidenvaccine dumbest hashtag seen hate much give credit man not office pandemic expedited development testing vaccine doubt biden would cut bureaucratic tape,negative
256,hetho sorry consumed circus act american election right talk chocolate airing rambling account dozen called witness say biden n win fraud long going go unchallenged,negative
257,biden not win election fraud come,negative
258,dumbest argument maga supporter biden not winning n many follower twitter trump,negative
259,democrat never agree biden would lose landslide know really think problem revote million american corrupt election fight everything cause thetruth,negative
260,biden margin decisive state le k electoral college not great,negative
261,know election assumed million people voted biden vote got counted n like outcome lost happens move stop conspiracy theory,negative
262,joe biden one sick puppy d puppet,negative
263,special report inside joe biden corruption scandal social med via,negative
264,breaking wisconsin supreme court refused hear president donald trump lawsuit attempting overturn loss democrat joe biden battleground state,negative
265,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
266,hispanic group lawmaker unhappy way nm gov lujan grisham treated president elect joe biden transition team samuel,negative
267,tell joe biden ca n remember office running state time got million vote obama huh know called fraud,negative
268,like coincide trump announcement loser planning biden inauguration,negative
269,funny trump loser trying paint china new enemy failed attempt biden ca n wait till admin leaf office world live peace living rent free,negative
270,tell joe biden stop sniffing child,negative
271,dude c state biden vote pretty crazy number canadian could care le win bad trump derangement syndrome n actually want know really happened,negative
272,kelly not acceptable tolerating biden year get away next time,negative
273,neill yup defeated fascism slo joe biden could show u really done,negative
274,yep biden beat cult leader as fucking landslide,negative
275,n think anyone trust reported result deep inside voted biden know not win wo admit,negative
276,dow hit k biden elected trump took credit hilarious not fact almost american dead ca n find single thing wrong relation president action even mention,negative
277,th congressional district candidate luke letlow lance harris republican denounce abortion defend gun right n ready concede donald trump lost joe biden present clear difference would carry job,negative
278,apparently biden election kid never going back school think might start tweeting dumb shit customer say cuz not democrat,negative
279,come president elect joe biden pulled ahead million vote mean trump pocketed per vote lost obvi wish even,negative
280,well prof thousand ballot unknown origin illegally entered system observer present everyone sent home roughly biden lead georgia vote,negative
281,long reach fraud case mailbox theft birth certificate p joe biden still president united state america january th,negative
282,hammill retroactive august st leave rest biden office,negative
283,oh ffs let hope go last vote biden,negative
284,ca n put word disgusted got knee thanked god joe biden election trump brings absolute worst many american despicable person enabled cause much destruction country,negative
285,come guarantee lot ppl going extremely disappointed angry amp likely feel stupid not seeing literally right front face frightening w biden harris administration thing get worse,negative
286,terra biden broke longstanding vote share record think,negative
287,long since time intervention instead get warning socialist marxist take america scare tactic du jour really biden moderate hardly apply sort label straight face unless mcconnell cornyn etc,negative
288,anyone support bush romney biden obama warmongering career politician,negative
289,theancientone need learn economics biden kill economy look policy trump fixed created job reduced welfare research know talking,negative
290,nah look like moving w destructive burn obstruction prevent real governance biden administration oh hypocrisy lot gop beyond saving total goddamn monster,negative
291,meanwhile assad apologist tulsi gabbard tweeting much hate neera tanden nominated omb director president elect biden,negative
292,except talk people hospital find patient slow laying cali take stay home order shove sideways funny start pulling shit soon think biden going pres,negative
293,mind even biden still k head one trying steal election sad commander chief go level try stay power lost fairly time move,negative
294,fbi dir wray profited hunter biden illegal china russia kickback deal covered laptop guess else cashed ag william barr could n make tried,negative
295,resistor hillary n cheat enough last time biden cheated much could afford loose stopping count simultaneously several state obvious half country understands election stolen,negative
296,waiting actual proof change election result plot twist n substantial evidence joe biden next president keep cry believing right wing bias,negative
297,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
298,oh see read pelosi mind spanberger clyburn missed really meant biden not progressive love scatology n odd much mention defecating sleeping area interesting,negative
299,biden definitely criminal president,negative
300,wo n treated like kid grounded misbehaving responsible practiced social distancing amp worn mask around others hypocrite encouraged rioter biden celebration frenchlaundry californialockdown justsayno,negative
301,responding elenaparent gasecifstate r living blind hell wrong u plain nose face voter fraud mr president trump b thinking kid future wo n one biden,negative
302,many lie biden tell day period please post one mike,negative
303,coronavirus joe biden call day mask anthony fauci say u face covid crisis situation via,negative
304,still spewing crap nt biden one passed bill locked black men said n want kid going school poc oh amp dumb white lol,negative
305,jim crow land ownership spur black farmer appeal biden many owner not trust process hamilton said reason heir property prevalent taken advantage,negative
306,oh please stop kool aid get biden elected trillion table check u unemployment extension plus supplement would not sign deal fucking bos got played christmas taken pelosi,negative
307,jordan yeah might think splitting hair biden campaign n denying calling xenophobic disputing called travel ban emphasizing china virus,negative
308,blackmail tough shit biden appoint someone temporary like trump,negative
309,grow providing healthcare country not mean support either mean recognizes cath live realize u catholic use bc prevent pregnancy family planning nothing biden fact wrap yr head arond,negative
310,fbi dir wray profited hunter biden illegal china russia kickback deal covered laptop guess else cashed ag william barr could n make tried,negative
311,wtf biden based juche pilled,negative
312,u hear slowbeat man use fault language shout public record time since june biden said decency caged dog,negative
313,biden drag u home execute not wearing one commie fuck,negative
314,rep karen bass chair congressional black caucus say unhappy diversity pick biden administration far believe overstatement n true,negative
315,breaking biden call day mask inauguration said ask american mask limited period time fox online kiss as joe,negative
316,beyond anti war hell would endorse joe biden n,negative
317,biden different trump giving usual lip service authentic face white american mask fallen covid blacklivesmatter,negative
318,loser chief still coming second biden million,negative
319,trump good reason worried hope served january p immediately biden sworn whichever come first imagine ny wo n state country file criminal civil charge make popcorn,negative
320,corrupt hilary killer biden cheater r quite something smell rotten,negative
321,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
322,task name someone specifically cheated joe biden btw vote anonymous envelope separated ballot way know ballot,negative
323,oriel wanaoni first hitler pushed germany war trump opposite u second brings change biden ca n third old evident democrat find better one,negative
324,wait till biden take office know chump amp family violated emolument claus daily basis year stright make history first prez convicted crime committed b,negative
325,msm breaking joe biden strangles wife live tv twitter claim intentional homicide disputed,negative
326,abc low disgusting people not journalist news yell trump family ukrain china russia scandal almighty joe biden false dossia old hillary created real fact,negative
327,biden wrote crime bill raised crackhead,negative
328,listen shit trump backer including flynn edge toward call suspend constitution head biden taking office,negative
329,anyone shocked bury corruption biden administration,negative
330,biden take investigate levin treason agent israel,negative
331,biden shut mouth trap president trump not even know hell saying,negative
332,jack fox genuine criticism agree although n know still homophobic support tulsi voted bernie sander primary biden general telling like see,negative
333,civic duty follow president biden request nation war covid virus little sacrifice prevent lot pain later wear mask,negative
334,draino something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
335,pallet seriously calling people come forward signed affidavit liar joe biden n even know,negative
336,law n matter beijing biden getting independent minded american complying pseudo science need nipped bud,negative
337,news flash fake exorbitant amount election fraud found swing state afraid show testimony people witnessed first hand amp signed affidavit explain biden loss,negative
338,menieb like alone fraud biden stay basement,negative
339,ready biden complete shut kill economy put u biggest recession history people die starvation disease insurance depression suicide look democrat state governor locking trump fault huh,negative
340,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
341,tick tock u politics live update donald trump loses wisconsin court bid overturn loss joe biden,negative
342,separated migrant kid biden team face hugely complex problem opinion greg sargent paul waldman,negative
343,thinking big problem american government shady deal making slimy gold buddy shameless nepotism n know joe biden start pointing finger,negative
344,biden even plagiarizes covidvaccine trump showing fool voted hand amp covid political n give rat asz vaccine help usa could claim way hell,negative
345,go social medium protection biden minute start censoring content longer deserve,negative
346,schmidt joe biden surely stop,negative
347,law biden put place pay insurance n want begin penalty still take like brought back money minority community let ton minority jail,negative
348,getting little repetitive anything new coming thought understood number understand biden got seven million vote make loser matter shrill tweet diaperdon diaperdonald,negative
349,ca nt real life country not show face trying preach whatever tf try past yr bc biden even fix mess gopcomplicittraitors goptraitors made usa worse rd world country gopbetrayedamerica,negative
350,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
351,f joe biden not wearing mask month kiss little dog as,negative
352,absolutely right trump work bad biden never president,negative
353,asked comment last year doj choice prosecute trump cnn not tell justice department job decision based fact law politics biden guarantee run,negative
354,tulsi gabbard fraud voted impeach president united state thus participating coup protect biden crime family,negative
355,prepared not drop soap federal prison sleeply joe biden commit voter fraud steal highest position land,negative
356,og yeah get baffling everyone see saying biden live looking reason assume everything twill bad,negative
357,outraged republican pressuring biden pardon criminal including trumpisakiller unforgivable crime blatantly violated oath not deserve leniency political healing described,negative
358,joe biden family tragedy shaped washington career,negative
359,eric garcetti failed local issue including homelessness mass transit policing fuck fail forward cabinet position biden administration say joe,negative
360,explains voted biden idea one reason hate trump clueless people like cause havoc prove not idiot,negative
361,damn joe biden stole election trailer park people,negative
362,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
363,kamala said never take vaccine trump anything think cooked basement n biden dwells,negative
364,oh sweetie medium n determine win loses voter whopping million american voted biden trump got le vote electoral count mortifying,negative
365,history repeat abe lincoln premonition demise n want scare anybody joe biden say american die covid next week video via,negative
366,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
367,opinion conspiracy theory could hand joe biden senate via,negative
368,lol biden soon loser election came today ga,negative
369,biden not leading anything got problem worry trumpisstillpresident,negative
370,doubt cnn breaking vragnaroda shamed loser denald drumpf cursed esteemed wife dear leader dr jill biden morning,negative
371,subjective interpretation poll worker loading ballot onto system unsupervised exact time ballot dump biden seen,negative
372,first appeal recount loss second biden county landslide umm wtf smdh,negative
373,poll recs describes old white democrat racist joe biden,negative
374,l e g like forrest gump say illegal election b america smell stink high heaven biden cheated cheater not win stupid ruined election forever never trust,negative
375,something say democrat first n like biden hate trump secondly care electoral fraud long beat third not love country traitor think still,negative
