,Text,subjectivity,polarity
43,williamlegate pathetic biden not looking professional liar,1,0
44,need help brokering trump biden unity government,0,2
45,thehill plagiarized joe biden,0,2
46,president elect joe biden ask american wear mask first day office plus asked dr anthony fauci stay optimism growing relief deal congress latest,0,2
47,jasonbcorbin dc draino biden cheated,1,0
48,biden killed american donald trump one day clan murderer,1,0
49,upcoming event un japan amp u suga biden era tim sisk akiko fukushima discus importance foreign policy opportunity challenge new administration face use agency effectively dec pm mt,0,2
50,report corrupt joe biden would like keep chris wray fbi chief via gatewaypundit,1,0
51,obama biden fraud inclusive organization said largest history,0,2
52,npr hunter biden story idoit,0,2
53,bonchieredstate trying understand ubs funnel dominion communist china election hunter biden boat,1,0
54,president elect joe biden predicting bleak future congress take speedy action aid bill amid nationwide spike virus hampering country economic recovery,0,2
55,nancynoco biden also rejoining jcpoa paris climate accord think mentioned u want back tpp,1,0
56,thecrotchdressr johnny nomics trombonedonald aoc biden closer trump,0,2
57,joe biden history lying dropped past presidential race plagiarism lied academic record amp year civil right involvement getting arrested trying meet mandela serial liar,1,0
58,seanhannity thing wrong biden dementia mom exact,1,0
59,gardenmorning course biden nothing,1,1
60,jonisawesomest would hell midterm slump buster talk biden around,1,0
61,sarbazekhaak anchor soul rudygiuliani realdonaldtrump except biden not mason freemasonry puppet,1,1
62,love communitytv saw episode vp joe biden impending visit never seen hear say dream president not prescient trump simpson pretty good oh netflix greendale misspelled,1,0
63,briebriejoy like go right wing show including saagar megynkelly fox news attack biden dems not saying single word trump gop next stop newsmax oan,1,0
64,among first act biden call day mask wearing,0,2
65,mehokay benmefferd deitaone cnn video proof eye witness testimonial statistical impossibility actual people stated request mail ballot told voted already biden yea keep drinking kool aid watching,1,0
66,patphup burbaburts tomag flattielover shrekthepunk mlodgeg goathead hildolfr catlady jimrobe qdecoder sno justice ladyoftheocean boodacat jim oconnell jfp emmyreincarnate mamalouies danpastor topleveltroll cent sup rk sbdsoultrain rushvillerockit russiathirdwor gameon khaleesi shlomoindiana gurleysgrl markholiday akuscg miss simone mongo calijeff karldegrosse f henline theirishred matthewqpublic eyesore elle vader jtlykke iamyuneek dontgetittwist tizzy trumpsugar missjulialee deadpools r u influence aig akvawe calliem biden president,1,1
67,realdonaldtrump million vote mighty joe biden beat double number hilary clinton amazing,1,1
68,realdonaldtrump still waiting biden drop,1,0
69,big announcement biden transition team expected monday,0,2
70,bradheath well guess know trump attorney feel getting threatened democrat saying going kill dog side need stop let election stole american people biden knew voter fraud arrested,1,0
71,dbongino mask people wear not work biden clown,1,0
72,elljay leefromnz joe biden need broken barbie rediculous laughably exaggerated humpty dumpty trumpty loyalist great fall ideally seen year charge facing,1,0
73,trump sell arctic refuge oil lease week biden inauguration president elect joe pledged safeguard national wildlife via huffpostpol,1,1
74,amyklobuchar lyin hidin biden fitted orange jumpsuit day criminal case commences,1,0
75,acosta caucus biden cnn still sale not believe one want buy,1,0
76,dbongino biden gon na asking anyone shit drop soap gitmo,1,0
77,lloydon rudygiuliani integrity voting system challenged evidence available fully court anyone still think biden sworn want not favour,1,0
78,volup val keep laughing video alone could cause biden white house,1,0
79,marklutchman agree election need redone properly cheating biden get feel like marshall law everyday guess pick poison,1,0
80,jennaellisesq believe room camera surveillance one would stupid enough however someone could easily fake recording give joe biden president elect,1,1
81,timing large georgia ballot dump biden appears coincide mother daughter duo election fraud scam via gatewaypundit,1,0
82,jimmyhel manavjivan kamalaharris thats voted biden get trump,1,1
83,trichardpdx heerjeet always suspected something ditto hispanic big skeptical trump share vote biden went time literally running woman,1,1
84,aoc fill bunch bullshit ballot biden,1,0
85,dpwimm realdonaldtrump lmao lara thing come attacking weak put fact back pathetic reasoning oh thats right got nota garbage say guilty biden personal hate lol,1,0
86,wenewsnow hijodesu real joe biden,1,0
87,fullhousetx georgepapa biden right next,0,2
88,trump election fraud hoax national actually separate state run election many state biden gop governor leader incentive come psychotic lie amp cowardly fear,1,1
89,bearcatjase foxnews right way worse let harass biden calling ultimate forever lockdown,1,0
90,tom fitton ag barr give pas obama biden trump appoint special counsel obamagate judicial watch,0,2
91,fuck joe biden joebiden mask total hitler po dictatorship not allowed usa,1,0
92,democrat waited election finally voted legalize marijuana biden administration could immediately deschedule next farm bill completely post elec usrc,1,0
93,biden urge taking coronavirus vaccine wearing mask say mandatory foxnews know american would volunteer personally administer j n k,1,0
94,realdonaldtrump caesear win biden vote video georgia trump,1,0
95,johncardillo biden think president know idea not,1,0
96,white pas acdfw erictrump sure wanted trump win concerned discovering voter fraud happened proven ga would want biden tenacious american wonder better,1,1
97,realdonaldtrump yes joe biden next president,1,1
98,marklevinshow jim biden not know talked elementary school student thought petting zoo,1,0
99,joe biden would simply tell bale going extradite afghanistan released,0,2
100,wideopenvista thessch think second bad guy revealed prior certain time obama hillary biden would recourse chaos chaz chop minneapolis riot,1,0
101,pense sorry nerve get tv say help way well damn could sworn president elect biden said first,1,0
102,trumpers weather westlake ohio west cleveland yelling passersby biden coup,1,0
103,loudclown warning fix gon na sing suspicion happened beau biden possibly fate,0,2
104,glad hear fauci voice scientific rationale blizzard conspiratorial denialism rt ap president elect joe biden say keeping dr anthony chief medical adviser member covid advisory team,1,1
105,gop give shitz u peasant mnuchin said could live month st people getting evicted waiting mile long line food bank unemployment running amp foreclosure president biden take care anerican citizen care,1,1
106,stub b jeannie west realrlimbaugh biden tweet covid not flight hey would trump use fact lie sound better,1,1
107,well vote biden trump going win bother like le toxic tone sorry not good night,0,2
108,cnn actually job go tell difficult story jackass would reported hunter biden,1,0
109,markdice free american ask biden kiss as,1,0
110,realdonaldtrump wait stock market crash like said would biden elected hm smell desperation trumptantrum,1,1
111,abbydphillip begin next four year spent cnn trying find create drama everything biden boost rating,1,1
112,ksorbs everyone love biden smart whats say,1,1
113,bgrossmann oh lost biden president soon deal,1,1
114,jengriffinfnc ap news may said name official government authority named joe biden president elect process important told four year,1,0
115,realdonaldtrump seanhannity diaperdon lamedonaldduck giveitupbabyhueydonny lost time give president new better biden big kiss hello,1,1
116,kellyanne conway acknowledges biden apparent winner presidential election,1,1
117,know biden election still fuck trump,1,1
118,realdonaldtrump sorry loser thanks advance adding vote pres elect biden stunt much expect pocket fund raising b,1,1
119,gardenmorning joe biden not one asked credit anything praised scientist worker helper best time obnoxious want name everything,1,1
120,dear ned hope biden transition asks go back cia sorely needed,0,2
121,jessicahengeli omonk ey justin hart six week day hour laugh loud imagining scream president biden sworn,1,0
122,deceased biden voter catch spread virus,1,0
123,trump f usps attempt win election huge failure people voted overwhelmingly president biden accomplished one thing comprised delivery holiday card christmas present wanker trumpruinedchristmas,1,1
124,kurtbardella joebiden biden admin make known front guy award contract law prosecuted voided,0,2
125,elljay place kellyanne biden administration home,0,2
126,tanyarmo ayannapressley bernie sander possible mathematical hope progressive agenda warren accomplice ayanna stayed race make sure biden,0,2
127,biden unlike trump hold china accountable consistent way senator akikofujita,1,1
128,biden puppet nancy pelosi american people,1,0
129,realdonaldtrump truly nice celebration biden harris glorious win,1,1
130,curiosi juliecat ryan jxs n stradammit timcast affidavit say nothing like tv usps contractor affidavit say acted kinda odd maybe statement k fake biden ballot bragged real investigation turned claim close,1,0
131,higgs sentenced death offense committed maryland not penalty new execution procedure likely rendered moot administration president elect joe biden said campaign opposes,0,2
132,mike penny perduesenate kloeffler defend majority let see democratic candidate got million vote republican le would make joe biden democrat going nice knew come around,1,1
133,portlandbureau fox news yeah thats elected biden,1,1
134,realdonaldtrump thank president elect biden trump said would crash loser wrong,1,1
135,abbydphillip yamiche kellyannepolls amandabecker look like not math afraid say truth lying long practice mirror slow suck thumb need biden,1,1
136,gopleader realdonaldtrump potus still president st ndly trump warp speed got vaccine biden absolutely nothing deserves credit despite pelosi assertion,1,0
137,tpcarney even million people hated trump going wait line vote biden hate win election,1,0
138,torossahakian resistor realdonaldtrump much want bet biden next president like easy money,1,1
139,reason biden campaign ought pay giuliani per hour want,0,2
140,realdonaldtrump anticipation incoming biden administration return normality not agolf trumpispathetic,1,1
141,kylegriffin new judge ordered trump restore daca status time president biden push comprehensive immigration reform,1,1
142,flotus whitehouse say woman set great example porn subjugation wait dr biden intelligent classy first lady,1,1
143,thekidj c best interest still let ask u joe bidden gon na u huh one took jail put understand trump racist biden better actually worse,1,0
144,say need stimulus people biden vaccine way month away know become homeless afford necessity already,1,0
145,realdonaldtrump thank peotus joe biden,1,1
146,nuancebro one moment banging mayor san francisco career bump next biden talking making disease give potus position life,1,0
147,joebiden biden harris chinese communist party,1,0
148,dailycaller omg already way day glad biden potus worry,1,0
149,michaelssmithii would shocked trump fire fauci way door precisely agreed stay biden administration,1,0
150,biden bidencrimefamilly china,1,0
151,look news article daily caller biden pledge hike tax bush administration level,1,0
152,course trump reneged broke faith suckered iran way back trust security biden compensate buy excess stockpile sit fund eu uranium departs go forward original deal,1,1
153,hookygolfer bazza way st louis county voted favor biden,1,0
154,china targeting biden team intelligence chief warns amid fresh trade war measure,0,2
155,sentedcruz biden help well,1,1
156,therecount dr deborah brix must role biden administration demonstrated medical oath meaningless lose license,0,2
157,reliably told biden harris van taking victory lap strip campaign worker filling backdated mail ballot president elect tossing bystander,1,0
158,one good reason get behind biden,1,1
159,tweettruth wtf biden cramp neck listening either speak,1,0
160,realdonaldtrump say market crash biden win think,1,1
161,govpritzker president elect biden joining,0,2
162,amp got lot work vaccine distribution biden say news,0,2
163,shanegoldmacher dang yet people voted biden forgot supposed vote collins split ticketing,1,0
164,much look forward working staff biden harris administration,1,1
165,biden president trump viciously unloads election interference alleges hundred thousand vote fraudulent,0,2
166,realdonaldtrump celebrating joe biden moron,1,1
167,transparency not exactly tweet hm suspicious biden omb pick deletes amid nomination via westjournalism,1,0
168,nerdinat r soi arent advertising rapper star war avenger even fucking joe biden got advertise ridiculous,1,0
169,jim jordan asshole know joe biden sucking trump humiliating since self respect guess feel nothing p wear jacket wanker,1,1
170,insane purposeful trump republican strategy delegitimize biden presidency amp undermine public trust u democracy weakens u world remind main goal ascribed putin intelligence community assessment,1,1
171,jshbooks washingtonpost biden,0,2
172,biden economic adviser jared bernstein proposed new way looking unemployment rate could game changer via huffpostpol,0,2
173,popsfrank brianfournier glgreg bae miami million u not vote biden trump wtf mean got rid isi obamas jv brought manufacturing job back obama said gone forever r cluelss cnn watching low iq sap dems laughing played sap like strad,1,0
174,biden urge taking coronavirus vaccine wearing mask say mandatory,0,2
175,neera tanden nominated joe biden director office management budget led bryancurtis davidshoemaker ponder possible tweet way white house,1,0
176,speakerpelosi china commie friend not bad guy per joe biden,1,0
177,palmerreport vote man difference biden million vote win electoral college loss,0,2
178,guy not know see calm joe biden fix basement knew way could prove judge would stay tell america know election robbed,1,0
179,think putting people great job trusted position yay biden,1,1
180,seanhannity market hit time high dear leader going shown door moron mr trump say would crash joe biden got elected,1,1
181,realdonaldtrump thought said biden get elected market would crash oops another bad call,1,1
182,saywhat democrat barbie washingtonpost pre produced montage write not going dignify dive deeper discussion absolutely criminal dnc would sign running man biden condition remember pelosi talking th month ago joe,1,0
183,theblaze biden zero chance president,1,0
184,president elect biden asking nation wear mask day amp absolutely approve wearing mine work last another let together get control,1,1
185,rolandsmartin biden keep word diversity lister want attention guarantee black ag hud administrator bidens taken high ground promising vaccine get community important,1,1
186,president elect joe biden ask american wear mask first day office plus asked dr anthony fauci stay optimism growing relief deal congress latest,0,2
187,joe biden big ambition tax reality set,1,0
188,aaronjcarpenter going troll bad biden get sworn,1,0
189,marthabeallmitc wajahatali sad true love respect president obama every good faith gesture made republican rejected hand democrat must unite recalcitrant republican party biden harris know act accordingly hope,1,1
190,thehill sendavidperdue presidential election integrity doubt joe biden not legitimate winner channel anger voting runoff whose guarantee right wrong done act check perdue,1,0
191,want say true opinion biden harris devil read bible happening blow mind,1,0
192,time efelsenthal recently shocked see published magazine sj biden noted president wtf not never pres america need understand american voted realdonaldtrump fake news,1,0
193,cnn let explain end joe biden president,1,1
194,kingkull rickyftw agree unfortunately congress especially democrat like accomplishing thing drip feed legislation biden smart would write executive order legalizing inaugurated,1,0
195,president elect biden tell cnn keep dr anthony fauci covid advisory board mr also ask american wear mask first day office wcbs,0,2
196,th strike gop longer going bend backwards trump joe biden sworn president january,1,1
197,rioslade seeing many minimizing trump way understandable egregious joe biden set take honestly perfectly awful race sub basement,1,0
198,realdonaldtrump yeah elected biden made loser,1,1
199,kclasgens realdonaldtrump not alone right even republican voted biden well get rid trump much wanted win senate lose presidential race dream reality easily evidence fraud simple,1,1
200,biden voted nowhere connect tribal leader campaign trump created video giving incentive vote period said worked yet even evidence show,1,1
201,barbarakroupa realdonaldtrump briankempga joe biden voter fraud knock new jersey election one person arrested state showing evidence want accept party dirty forget u accused trump st,1,0
202,shane bser not even sure point happened people polled worried biden age trump constant erratic behavior,0,2
203,barely literate joe biden never accepted nomination via youtube,1,0
204,elenaparent gasecofstate wrong biden not win,1,0
205,mike penny yes biden get packing,1,1
206,timinhonolulu redistrict tim agree barr may evidence trump monk hacking vote handed biden,1,0
207,vickeywoods whut ru gatewaypundit plan blast one tissue watch president biden sworn,1,0
208,realdonaldtrump market love biden not covidiot,1,1
209,pasenatedems know may think twitter account sound trump russia investigation coup loaded word listen democrat accomplished literally none goal aside electing biden self soothing let happen,1,1
210,biden call people wear mask day hill,0,2
211,would love know actually writing tweet already bc strident time nature djt one way anyone could convince biden credited,1,0
212,lisamirandocnn wolfblitzer thought cnn jake tapper tv interview tonight pm est dem pres elect biden amp vp harris,0,2
213,good job mr biden love leadership,1,1
214,biden not president,1,0
215,latest president elect joe biden talk job covid relief bill,0,2
216,w terrence also baffled trump hater begging stimulus money instead waiting january hope self proclaimed president elect biden take office fight life want ask something nastiness,1,1
217,ninaturner cornelwest jacobinmag anyone find clip pre race msnbc west say love brother biden let face milquetoast neoliberal gangster even worse policy hold finger like burn sign lol,1,0
218,trump day got worse kellyanne conway seems acknowledge biden apparent winner via politribune,0,2
219,call white joe biden,0,2
220,catturd really believe would take vaccine probably people joe biden win election,1,0
221,firm linked joe biden scrub website china related business via gatewaypundit,0,2
222,yes joe biden kamala harris planning legalize abortion birth via shareaholic,1,0
223,lawrence jones biden harris cnn sit interview fox news newscnn exclusive say ask american wear mask fo,1,0
224,please join telling pres elect biden call inaugural gathering due covid oath office speech camera streaming online crowd person parade cancelthepomp,1,1
225,telling though think biden take offer,0,2
226,size joe biden victory matter huge,1,1
227,smublvd jawjagrrl jgkande gabrielsterling gasecofstate audit recount two done hand machine change result biden still,1,1
228,sluurmpp redhawkmiddy ilhan aoc wow wrong biden helped destroy black community w crime bill amp kamala locked ton user mj ca tried keep longer deserved free labor meanwhile trump pushing reform,1,0
229,johndawkins obviously case colossal number biden ballot affect lower race could conclude presidential election impossible know true result,0,2
230,appalachiatiger brendankeefe georgia already certified electoral vote allocated biden battleground,0,2
231,realdonaldtrump voted biden,1,1
232,murray nyc realdonaldtrump giving biden credit stock market get covid case death also,1,0
233,biden asks fauci stay call american wear mask day,0,2
234,like thank president elect biden diaperdon,1,1
235,biden holding china accountable pandemic not punishing covid virus daily wire,0,2
236,alistairhaimes not numpty evil biden supporting trump hater happy see people carry dying rather approve usa found wrong footed talking garbage try cover politics,1,0
237,biden need make right day one american living hotel room hungry desperately taking social medium beg money government providing along richest nation earth mcconnell give ruby red fuck,0,2
238,screw biden not swamp telling called control people world dream patriot never give,1,0
239,fair election million patriot washingtondc many biden follower liar like proof cnnpolitics cnn nytimes newyorktimes msnbc nypost newyorkpost oann foxnews nbcnews abc,1,0
240,gwen moore erininthemorn joe biden promised progressive lgbtq policy plan hold foot fire,0,2
241,stevehiltonx cnn clear evidence fraud headline news worldwide wow biden,1,0
242,merica please libertarian not follow hypocrite government biden hapless demented individual without original thought life like msm,1,0
243,harrietmtubman aubrey huff would selling biden talking people voting someone else either,0,2
244,breitbartnews never biden presidency thank god,1,0
245,abuggi biden first act president quitting,1,0
246,kamala harris ex suggests politely decline asked biden vp via nypost,0,2
247,nytimes biden administration get rid immediately upon taking office nothing trump republican racism bigotry amp white supremacist politics action way enough,1,1
248,mcohan spacekitt n transition joebiden corndog would better trump since corrupt president ever forcing everyone orbit spend nearly half day office one property giving job deal buddy biden definitely,1,1
249,washingtonpost kiss acronym biden yes amp republican,1,0
250,trump pentagon block visit natl security agency defense intelligence amp military run spy service w classified budget global espionage platform biden transition team seemingly petty procedural barrier,0,2
251,petergrantmp janeygodley elainefoster totally agree joined twitter last month knew biden would stop hopefully dominating platform hiding behind screen cruel lying taunting tell person coward not even acknowledge irl loser,1,1
252,diamondandsilk let medium started scam foxnews cnn nbcnews msnbc guy break follower biden harris,1,0
253,president elect joe biden revealed plan ask american wear mask first day administration interview cnn jake tapper,0,2
254,dailycaller biden kamala passed gas tv get old washed wind bag,1,0
255,ap many time president elect biden wisconsin,0,2
256,believe biden crime family really want wear mask day suppose eat,1,0
257,joebiden congratulation joe biden entering white house,1,1
258,realdonaldtrump well shit trump camp give relief money intended small business corporation make sure transparency language bill one would know biden team could take lesson real criminal fraudsters,0,2
259,rudygiuliani president elect biden election legitimately,1,0
260,get ready az judge order review ballot sample find ballot deemed fraudulent favor biden larger audit granted,1,0
261,brianna keilar joe biden election even close cnn video,1,1
262,aoc great congrats landslide election keep biden toe,1,0
263,mmflint baselyhamdan back biden dem party recognize coup puppet juan guaido president venezuela instead maduro,1,0
264,redsteeze naked biden dog rape meme machine already spooling,1,0
265,think safely guess response biden camp,0,2
266,joseph biden president elect u,1,1
267,not sure feel news bernie sander make play biden labor secretary via politico,0,2
268,mr trump run replucians biden amp m kamala might need stay ambition co fmk np,1,0
269,everiong im pretty sure satire tried hard make version make sense trump debating biden say oh rest well would believe trunnp,0,2
270,popsfrank brianfournier glgreg bae miami dems msm hatred sad situation biden somehow make swear manage read oath year lose house amp madness idiot corrupt crony destroy country,1,0
271,biden billion dollar procurement plan small business contractornews sbe,0,2
272,miamiherald heard covid longer flavor month biden drop already liberal achieved mission,1,0
273,realdonaldtrump wait president elect joe biden take office yr not nice change,1,1
274,showtime already optioned book biden win television via lithub,0,2
275,willyd kromexstylez realdonaldtrump say supported trump funny remember saying value conservative belief joe biden believe also politics candidate personally sometimes people policy party,1,0
276,erictrump thank president biden,1,1
277,uberpreeya jonhawkins also think biden record opposed assume sign pass,0,2
278,yes part republican believe biden stole election elected official hypocrite block everything thing let trump slide nothing new believed obama wasnt born america blocked white fascist,1,1
279,jsolomonreports well maybe netty jumped fast congratulate biden like kid wanting candy bargaining power left table never eager bad scent,1,0
280,jim jordan sad see repugs give crap american people health feel better president biden harris,1,1
281,lisletass well biden challenge trump push contest,0,2
282,billyeichner omg watching joebiden hair biden eichner,0,2
283,anyone think joe biden rescue suffering stockholm syndrome,1,0
284,care lot biden get state matter u support massive increase spending amp regulation clean infrastructure,1,0
285,jim jordan though jaketapper worked joe biden,0,2
286,libertariantn susancollinsfan nikkihaleyfan loefflerfan god loved nikki haley gov go stick foreign affair beat biden though,1,0
287,realdonaldtrump oann know maybe cult member stupid happening month ago usps not everyone amnesia purposefully stop mail ballot majority biden counted,1,0
288,thehill biden take mask shove america constitution say comply would think someone think going president familiar,1,0
289,republicriminalcartel proud much damage caused constitution democracy citizen u act like nothing happened business usual biden administration decency,1,1
290,along nevada win georgia rd recount ended today another biden course joe winning everywhere importantly dumpy losing biggestlosertrump byebyetrump election,1,1
291,pro beijing communist almost stole election joe biden old fashioned way must read via epochtimes,0,2
292,gavinnewsom senatemajldr think included care act acknowledge president elect biden get money hand people way first thing must second,1,1
293,alley way biden explains foot injury walking little alleyway get bedroom ran joking running slipped throw rug tripped slid daily caller dailycaller december,0,2
294,realdonaldtrump yeah stock market love biden president,1,1
295,maddow mr biden invite former president participate inauguration,0,2
296,biden trump administration distributing vaccine detailed plan full crap would not president something never able,1,0
297,joe biden revealed going ask inauguration day breaking news vebloft,0,2
298,iheartmindy biden georgia vote well go flipped trump,1,0
299,biden expected tap vivek murthy surgeon general,0,2
300,texas everhtx thaddeusrussell possibly nothing provided definitively linked joe biden big guy real failure fbi sitting evidence year,1,0
301,kirstiealley right unfortunately section chance overturned biden twitter google facebooks continue act editor without consequence kinda scary become nation free speech next pray keep senate,1,0
302,alexsalvinews not leader handing power harris neither biden qualified mentally morally fit great leader agenda communism want live leadership slow joe ho,1,0
303,lol fraud like forgotten biden never president cheated simple disqualified end story,1,0
304,not joe st shady move biden family business get rich scheme w foreign country campaign speech plagiarism lying college record past gov experience current racist action comment changing policy position think amp dems would anything win,1,0
305,joe biden must not become president via youtube,1,0
306,realdonaldtrump thank biden,1,1
307,benyc kfaulders santucci prez elect biden expected tap vivek murthy surgeon general key role covid response,0,2
308,brandonstraka biden go eff,1,0
309,lightworkercain cloning army fuscii deep state patriot fear president biden fix everything trus plan,1,1
310,gtconway marceelias strange come state trump not fraud biden,1,1
311,willownbirch realdonaldtrump petulant child trying destroy thing biden get,1,0
312,interested know biden made large gain rural northeastern area not new england upstate ny swung similar degree hampshire,1,0
313,charliekirk bad situation biden anyway,1,0
314,pastorlocke cnn biden start taxing fake church,0,2
315,brandonstraka please first day office biden,1,0
316,realdonaldtrump breaking biden national popular vote lead surpassed million,0,2
317,cnnpolitics great job mr president biden,1,1
318,way forward covid together added name demand biden task force make vaccine free available everyone worldwide add,0,2
319,lowcountry girl reneecarrollaz one judge book cover however democrat politician look nothing credible good bad core amp show face also speak different language biden say ever make sense,1,0
320,realdonaldtrump yes anticipation biden harris,0,2
321,realdonaldtrump purdue say biden,0,2
322,ccake jt cnn talk news biden asked dr anthony fauci chief medical adviser part administration covid response team telling u totally insignificant better trump son law leader,1,1
323,breaking president elect biden say ask american commit day wearing mask one first act co bzufz cuo,0,2
324,many area galvin outran biden fairbanks probs biggest one outperform ultimately pushed best performing alaska democrat senhorraposa cinyc,0,2
325,oann csinclairtv rpollockdc voted counted biden trump lost,1,1
326,financial planning biden administration pfshare via rwohlner,0,2
327,biden pick going ag,0,2
328,elaijuh jjauthor lying cheating biden never president,1,0
329,vaguepassage kenny sowellfan realdonaldtrump world watched election night ballot count halted swing state trump following day counting resumed massive number ballot biden dumped nothing see move along,1,0
330,chinese step attempt influence biden team u official bbc news,0,2
331,realcandaceo hear purdue say mcconnell work biden better trump pelosi,1,1
332,biden want raise top income tax rate nearly,0,2
333,fast sniffer biden,1,0
334,mblehrhoff politico thank go bed sleep without nightmare like last night kind ppl dream wake lindsey eye cry car bc biden good buddy seen somewhere much involved,1,1
335,emeraldrobinson truthteller gasecofstate senatemajldr lying cheating biden never president,1,0
336,kob loser govmlg longer contender dog catcher since made pedophile biden angry may wallow self pity due incompetence,0,2
337,realdonaldtrump give keep fighting want u apparent cheater liar sickening make sick stomach biden ashamed,1,0
338,foxnews amazing biden relies mask mandate even though proven protect wearer mind game make people feel better worn month ca done nothing number,1,0
339,trump trying fuck thing president biden never americafirst claim trumpfirst always speculation setting shadow gov lack knowledge would clueless,1,1
340,babyfacemagee kingfaraone jessejherman cernovich umm think age absolutely problem w biden also get worse mental degradation pinned trump never djt,1,0
341,biden trump lesson day week snb digital currency eco trading finance cryptocurrency,0,2
342,maddow soon learn joe biden lot others going prison treason,1,0
343,rm firstsquawk problem kamala harris always start identifying joe biden,1,0
344,yesmankb scorpio wit ville cnn also realize middle east treaty county not fighting first place like obama biden term revisionist history guess,0,2
345,covie biden know keeper see one,1,0
346,igit aturtlenamedbo cnnadam jamiegangel p biden president,1,1
347,gasecofstate video people staying behind count vote inspire confidence sir biden take lead,1,0
348,realdonaldtrump tweeted cannabislegalization back take step beat congress joebiden great legacy change fda regulation marijuana otherwise leaving glory biden speakerpelosi,0,2
349,lynnsharig miminorton yes news call biden election night msm not decide becomes president open eye communist takeover america china helping take country sham,1,0
350,theleoterrell build back better joe biden campaign slogan not one voter know mean came un globalist america last global communism,1,0
351,jim jordan make wonder world joe biden get million vote obama using brain two second might led answer nearly everyone confined home vote couch,1,0
352,roboninja johnnyrode realdonaldtrump make think dominion voting machine print copy voted take teller would present piece paper said biden,1,0
353,beijing enormous sway wall street hope biden win chinese professor china ally deep state,0,2
354,fgrissle rudygiuliani objective reality biden,1,1
355,kellyanne conway look like joe biden kamala harris prevai via youtube,0,2
356,biden plan scaled back inauguration avoid spreading coronavirus crowd,0,2
357,bnodesk biden appointment clear indication aim put best people position yet see donor family member mix,1,1
