,Text,Raw tokens,Token length,Tokenized,NLTK ref sentiment,roberta_labeled
10,"I would be glad to help you and Biden admin understand the trials of healthcare for those of us older and on ACA. Deductibles, and EOBs that have no relationship to what doctors give you in an encounter sheet clearly show what is wrong with our for profit system ","['I', 'would', 'glad', 'help', 'Biden', 'admin', 'understand', 'trials', 'healthcare', 'us', 'older', 'ACA', '.', 'Deductibles', ',', 'EOBs', 'relationship', 'doctors', 'give', 'encounter', 'sheet', 'clearly', 'show', 'wrong', 'profit', 'system']",26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 701, 169, 2, 349, 350, 2836, 2837, 90, 1749, 2838, 1, 2839, 3, 2840, 1286, 1750, 135, 2841, 2842, 1751, 423, 261, 1752, 381]",0.7184,0.0
11,Thought it would crash if Biden was elected ,"['Thought', 'would', 'crash', 'Biden', 'elected']",5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1004, 16, 226, 2, 122]",-0.4019,2.0
12,I'm pretty sure they're basing their case in reality and not on conspiracy theories. Hunter Biden is a saint compared to the Trump kids. #TrumpCrimeFamilyForPrison2021 #BidenWon #GetOverIt #IvankaForPrison ,"['I', ""'m"", 'pretty', 'sure', ""'re"", 'basing', 'case', 'reality', 'conspiracy', 'theories', '.', 'Hunter', 'Biden', 'saint', 'compared', 'Trump', 'kids', '.', '#', 'TrumpCrimeFamilyForPrison2021', '#', 'BidenWon', '#', 'GetOverIt', '#', 'IvankaForPrison']",26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67, 424, 127, 69, 2843, 527, 702, 528, 1287, 1, 178, 2, 2844, 2845, 10, 1005, 1, 11, 2846, 11, 2847, 11, 2848, 11, 2849]",0.8061,2.0
13,Wonder how much Biden / DNC raised from CHINA since election day? ,"['Wonder', 'much', 'Biden', '/', 'DNC', 'raised', 'CHINA', 'since', 'election', 'day', '?']",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1753, 95, 2, 818, 819, 1754, 1755, 179, 19, 128, 8]",0.0,2.0
14,In Biden's defense he doesn't know who he is ,"['In', 'Biden', ""'s"", 'defense', ""n't"", 'know']",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 2, 5, 1288, 9, 31]",0.128,2.0
15,"Imagine being the President of the most powerful country in the world and being unable to stop the election from being stolen from you, by Sleepy Joe Biden of all people. Has there ever been a bigger cuck loser than Donald Trump? ","['Imagine', 'President', 'powerful', 'country', 'world', 'unable', 'stop', 'election', 'stolen', ',', 'Sleepy', 'Joe', 'Biden', 'people', '.', 'Has', 'ever', 'bigger', 'cuck', 'loser', 'Donald', 'Trump', '?']",23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1756, 15, 1757, 125, 188, 1758, 216, 19, 1006, 3, 2850, 12, 2, 20, 1, 472, 199, 1007, 2851, 473, 200, 10, 8]",-0.6915,0.0
16,",So much damning evidence was provided about what BIDEN did during the RUSSIAGATE hearings you would think Jamie Raskin would want to know what happened with those particular matters. But instead he paints Republicans with the broadest brush in his toolkit RT = agree. ","[',', 'So', 'much', 'damning', 'evidence', 'provided', 'BIDEN', 'RUSSIAGATE', 'hearings', 'would', 'think', 'Jamie', 'Raskin', 'would', 'want', 'know', 'happened', 'particular', 'matters', '.', 'But', 'instead', 'paints', 'Republicans', 'broadest', 'brush', 'toolkit', 'RT', '=', 'agree', '.']",31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 84, 95, 2852, 117, 1759, 35, 2853, 2854, 16, 55, 2855, 2856, 16, 66, 31, 351, 1289, 1008, 1, 88, 598, 2857, 201, 2858, 2859, 2860, 1009, 1010, 280, 1]",0.384,0.0
17,Thanks to joe Biden and Kamala. The stock market and the economy always do well under democrats. website_name ,"['Thanks', 'joe', 'Biden', 'Kamala', '.', 'The', 'stock', 'market', 'economy', 'always', 'well', 'democrats', '.', 'website_name']",14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 245, 2, 180, 1, 14, 301, 151, 425, 302, 133, 382, 1, 6]",0.6124,1.0
18,My Biden face mask I wear to work! The flag doesn't just belong to you.. it's all of ours! website_name ,"['My', 'Biden', 'face', 'mask', 'I', 'wear', 'work', '!', 'The', 'flag', ""n't"", 'belong', '..', ""'s"", '!', 'website_name']",16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 325, 2, 352, 108, 7, 42, 170, 4, 14, 1290, 9, 1291, 102, 5, 4, 6]",0.0,2.0
19,"Just for fun let's say this is true. A group offered a raffle ticket to those who voted. This encouraged people to vote. Votes are anonymous, each person voted for the candidate of their choice. Some voters got a gift. Warped Trump logic: This is fraud by Biden!! ","['Just', 'fun', 'let', ""'s"", 'say', 'true', '.', 'A', 'group', 'offered', 'raffle', 'ticket', 'voted', '.', 'This', 'encouraged', 'people', 'vote', '.', 'Votes', 'anonymous', ',', 'person', 'voted', 'candidate', 'choice', '.', 'Some', 'voters', 'got', 'gift', '.', 'Warped', 'Trump', 'logic', ':', 'This', 'fraud', 'Biden', '!', '!']",41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 1011, 227, 5, 63, 282, 1, 106, 1012, 1760, 2861, 599, 72, 1, 80, 2862, 20, 58, 1, 600, 2863, 3, 228, 72, 426, 601, 1, 529, 165, 70, 1292, 1, 2864, 10, 1293, 13, 80, 50, 2, 4, 4]",0.8065,0.0
20,If Trump won it would have been all legit but since it is Biden it is fraud...sad sad sad🤔 #DonTheCon ,"['If', 'Trump', 'would', 'legit', 'since', 'Biden', 'fraud', '...', 'sad', 'sad', 'sad🤔', '#', 'DonTheCon']",13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 10, 16, 1761, 179, 2, 50, 17, 703, 703, 2865, 11, 2866]",-0.4215,0.0
21,"Barack said, ""Once Fauci says it's cleared"" Monkey See🙈 Monkey Do🐵 Biden has NO COMPASS🐒 ","['Barack', 'said', ',', '``', 'Once', 'Fauci', 'says', ""'s"", 'cleared', ""''"", 'Monkey', 'See🙈', 'Monkey', 'Do🐵', 'Biden', 'NO', 'COMPASS🐒']",17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 704, 61, 3, 26, 1294, 57, 44, 5, 2867, 25, 1762, 2868, 1762, 2869, 2, 474, 2870]",-0.368,2.0
22,Biden eyes defeated candidates for key administration roles website_name Waiting to see in a role !!! ,"['Biden', 'eyes', 'defeated', 'candidates', 'key', 'administration', 'roles', 'website_name', 'Waiting', 'see', 'role', '!', '!', '!']",14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 602, 1295, 820, 821, 47, 1763, 6, 1764, 76, 1013, 4, 4, 4]",-0.6093,2.0
23,Out of 100 randomly selected ballots in Georgia 2 of them were changed to biden illegally. Trump won Georgia Bigley ,"['Out', '100', 'randomly', 'selected', 'ballots', 'Georgia', '2', 'changed', 'biden', 'illegally', '.', 'Trump', 'Georgia', 'Bigley']",14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2871, 23, 2872, 1765, 96, 118, 129, 822, 46, 1296, 1, 10, 118, 2873]",0.5719,2.0
24,Just get over it! We're sick of this. Move on. You should be thinking on how you're going to be working with the Biden admin on what's needed for Americans who need your help now more than ever. Be best &amp; be useful! ,"['Just', 'get', '!', 'We', ""'re"", 'sick', '.', 'Move', '.', 'You', 'thinking', ""'re"", 'going', 'working', 'Biden', 'admin', ""'s"", 'needed', 'Americans', 'need', 'help', 'ever', '.', 'Be', 'best', '&', 'amp', ';', 'useful', '!']",30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 36, 4, 45, 69, 705, 1, 2874, 1, 33, 1766, 69, 37, 348, 2, 349, 5, 1014, 32, 85, 169, 199, 1, 475, 283, 22, 24, 18, 2875, 4]",0.7955,0.0
25,Ahh Biden cheated and most of the Democrats know that as well ,"['Ahh', 'Biden', 'cheated', 'Democrats', 'know', 'well']",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2876, 2, 303, 152, 31, 133]",-0.296,0.0
26,"the vaccine is what's driving the markets back, not Biden It means there won't be another nation wide shutdown ","['vaccine', ""'s"", 'driving', 'markets', 'back', ',', 'Biden', 'It', 'means', 'wo', ""n't"", 'another', 'nation', 'wide', 'shutdown']",15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 5, 2877, 530, 114, 3, 2, 30, 304, 107, 9, 383, 603, 2878, 2879]",0.0,2.0
27,Biden team continue disrespecting #Hispanics Hispanic caucus unhappy with transition team treatment of Lujan Grisham website_name ,"['Biden', 'team', 'continue', 'disrespecting', '#', 'Hispanics', 'Hispanic', 'caucus', 'unhappy', 'transition', 'team', 'treatment', 'Lujan', 'Grisham', 'website_name']",15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 75, 427, 2880, 11, 1297, 1767, 1768, 2881, 262, 75, 1769, 1770, 1771, 6]",-0.4215,0.0
28,"In the Venn diagram of Call Your Mother fans and people deeply invested in Biden's COVID response planning, I am the small circle within a bigger circle. Some would call that... a bagel. ","['In', 'Venn', 'diagram', 'Call', 'Your', 'Mother', 'fans', 'people', 'deeply', 'invested', 'Biden', ""'s"", 'COVID', 'response', 'planning', ',', 'I', 'small', 'circle', 'within', 'bigger', 'circle', '.', 'Some', 'would', 'call', '...', 'bagel', '.']",29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 2882, 2883, 823, 384, 1772, 1015, 20, 2884, 1773, 2, 5, 305, 531, 706, 3, 7, 604, 1298, 2885, 1007, 1298, 1, 529, 16, 97, 17, 2886, 1]",0.0,2.0
29,"The minute that Biden does,you know there'd be people who won't wear one just to own the Libs &amp; something,something,something....freedom. website_name ","['The', 'minute', 'Biden', ',', 'know', ""'d"", 'people', 'wo', ""n't"", 'wear', 'one', 'Libs', '&', 'amp', ';', 'something', ',', 'something', ',', 'something', '....', 'freedom', '.', 'website_name']",24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 1774, 2, 3, 31, 214, 20, 107, 9, 42, 49, 1775, 22, 24, 18, 202, 3, 202, 3, 202, 136, 1299, 1, 6]",0.0,0.0
30,"Mass. electors named, set to cast votes for Biden-Harris ticket on Dec. 14 website_name via ","['Mass', '.', 'electors', 'named', ',', 'set', 'cast', 'votes', 'Biden-Harris', 'ticket', 'Dec.', '14', 'website_name', 'via']",14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2887, 1, 1776, 1300, 3, 824, 707, 29, 198, 599, 1016, 1777, 6, 56]",0.0,2.0
31,"Biden kicked your ass, LOSER! ","['Biden', 'kicked', 'ass', ',', 'LOSER', '!']",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1301, 306, 3, 825, 4]",-0.837,0.0
32,"#FoxNews🇺🇸 Biden urges taking coronavirus vaccine, wearing masks but says they shouldn't be mandatory website_name ","['#', 'FoxNews🇺🇸', 'Biden', 'urges', 'taking', 'coronavirus', 'vaccine', ',', 'wearing', 'masks', 'says', ""n't"", 'mandatory', 'website_name']",14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2888, 2, 476, 353, 263, 100, 3, 229, 43, 44, 9, 826, 6]",-0.0857,2.0
33,"So, you want to tax those billionaires that funded gazillions of money to the Biden campaign during this election, right? ","['So', ',', 'want', 'tax', 'billionaires', 'funded', 'gazillions', 'money', 'Biden', 'campaign', 'election', ',', 'right', '?']",14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 3, 66, 708, 2889, 2890, 2891, 116, 2, 230, 19, 3, 77, 8]",0.1477,2.0
34,"Except, when you talk to people at the hospital you find out theres no patients, its so slow they are laying off. Cali can take there stay at home order and shove it sideways! Funny how they start pulling this shit as soon as they THINK Biden is going to be Pres. 🤨👊 ","['Except', ',', 'talk', 'people', 'hospital', 'find', 'theres', 'patients', ',', 'slow', 'laying', '.', 'Cali', 'take', 'stay', 'home', 'order', 'shove', 'sideways', '!', 'Funny', 'start', 'pulling', 'shit', 'soon', 'THINK', 'Biden', 'going', 'Pres', '.', '🤨👊']",31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 827, 3, 428, 20, 2892, 264, 1778, 2893, 3, 1017, 1779, 1, 2894, 81, 137, 532, 605, 1780, 2895, 4, 1018, 203, 1019, 217, 326, 1302, 2, 37, 606, 1, 2896]",-0.5916,0.0
35,Call Your Mother Co-Owner Is Biden's New Covid Czar website_name ,"['Call', 'Your', 'Mother', 'Co-Owner', 'Is', 'Biden', ""'s"", 'New', 'Covid', 'Czar', 'website_name']",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 823, 384, 1772, 2897, 327, 2, 5, 429, 307, 2898, 6]",0.0,2.0
36,Statistical analysis doesn't equal fraud especially with personal decisions about voting. All sorts of people decided to vote for Biden. Your statistics argument cannot account for that. ,"['Statistical', 'analysis', ""n't"", 'equal', 'fraud', 'especially', 'personal', 'decisions', 'voting', '.', 'All', 'sorts', 'people', 'decided', 'vote', 'Biden', '.', 'Your', 'statistics', 'argument', 'account', '.']",22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2899, 2900, 9, 1781, 50, 607, 1303, 1304, 284, 1, 204, 2901, 20, 2902, 58, 2, 1, 384, 1782, 709, 710, 1]",0.1461,0.0
37,Little known fact – that Biden's support for Thatcher in 1982 was not the first time that the US helped kick Argie ass? Lexington Raid 1831 anyone? website_name Or p.101 👇 website_name ,"['Little', 'known', 'fact', '–', 'Biden', ""'s"", 'support', 'Thatcher', '1982', 'first', 'time', 'US', 'helped', 'kick', 'Argie', 'ass', '?', 'Lexington', 'Raid', '1831', 'anyone', '?', 'website_name', 'Or', 'p.101', '👇', 'website_name']",27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 533, 385, 285, 430, 2, 5, 190, 534, 535, 38, 82, 74, 328, 477, 536, 306, 8, 537, 538, 539, 166, 8, 6, 286, 540, 478, 6]",-0.2869,2.0
38,Trump is a lame duck. Nobody cares about Trump. Biden needs a plan. Not January 20th. Now. ,"['Trump', 'lame', 'duck', '.', 'Nobody', 'cares', 'Trump', '.', 'Biden', 'needs', 'plan', '.', 'Not', 'January', '20th', '.', 'Now', '.']",18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1020, 1305, 1, 828, 608, 10, 1, 2, 171, 146, 1, 153, 215, 609, 1, 329, 1]",0.0516,0.0
39,"Yeah, the markets are thrilled that Biden is about to be President! The age of the crazy moron pathological liar egotistical sociopath President is coming to an end! ","['Yeah', ',', 'markets', 'thrilled', 'Biden', 'President', '!', 'The', 'age', 'crazy', 'moron', 'pathological', 'liar', 'egotistical', 'sociopath', 'President', 'coming', 'end', '!']",19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 308, 3, 530, 2903, 2, 15, 4, 14, 829, 1783, 541, 1784, 711, 2904, 2905, 15, 610, 712, 4]",-0.7418,0.0
40,Needless to watch Sean Hannity tonight because it will not change the outcome of the election you miserably lost to the honorable Joe Biden you called sleepy Joe but now “ complaining Trump “! ,"['Needless', 'watch', 'Sean', 'Hannity', 'tonight', 'change', 'outcome', 'election', 'miserably', 'lost', 'honorable', 'Joe', 'Biden', 'called', 'sleepy', 'Joe', '“', 'complaining', 'Trump', '“', '!']",21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2906, 542, 2907, 1785, 1306, 218, 1021, 19, 1786, 134, 2908, 12, 2, 479, 1787, 12, 39, 2909, 10, 39, 4]",-0.4482,0.0
41,"Good plan, more high profile leaders should be doing this. Give Biden a running start with both houses. Even if it's only 2years. ","['Good', 'plan', ',', 'high', 'profile', 'leaders', '.', 'Give', 'Biden', 'running', 'start', 'houses', '.', 'Even', ""'s"", '2years', '.']",17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 354, 146, 3, 611, 2910, 713, 1, 830, 2, 431, 203, 1788, 1, 355, 5, 2911, 1]",0.4404,1.0
42,Trump has 50 plus pence to break ties without the runoff. It only matters if Biden wins. Trump needs the support! Boycott the runoff! ,"['Trump', '50', 'plus', 'pence', 'break', 'ties', 'without', 'runoff', '.', 'It', 'matters', 'Biden', 'wins', '.', 'Trump', 'needs', 'support', '!', 'Boycott', 'runoff', '!']",21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1307, 1789, 2912, 1022, 1285, 386, 1023, 1, 30, 1008, 2, 191, 1, 10, 171, 190, 4, 2913, 1023, 4]",0.6988,2.0
43,Pathetic. Biden not looking for a professional liar. ,"['Pathetic', '.', 'Biden', 'looking', 'professional', 'liar', '.']",7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2914, 1, 2, 831, 1024, 711, 1]",-0.7906,0.0
44,Do We Need Help Brokering a Trump-Biden Unity Government? website_name ,"['Do', 'We', 'Need', 'Help', 'Brokering', 'Trump-Biden', 'Unity', 'Government', '?', 'website_name']",10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 45, 1790, 1791, 2915, 2916, 2917, 1025, 8, 6]",0.4019,2.0
