,Tweet Text,Sentiment
41,"   biden is a liar . he 's again , fooling the american people . he is saying a hundred days only , because if he said forever , there would be chaos & amp ; it would be too obvious that he 's a puppet of the foreign cabal ( communists ) that have infiltrated our country . he 'd renew every 100 days",negative
42,"higgs was sentenced to death for an offense committed in maryland , which does not have the death penalty . 

 the new execution procedures will likely be rendered moot under the administration of president - elect joe biden , who said during the campaign that he opposes  ",negative
43,"   weird , he labelled joseph biden so i understand who that 's supposed to be , but who is the other guy ? hard to understand if you only label one of the characters",negative
44,       in the 1990 's biden tried to destroy the reputation of scotus clarence thomas ... the dems tried to destroy justice cavanaugh 's reputation and failed ... pelosi is calling amy barrett 's appointment illegitimate ... 3 strikes against the dems right there ... karma ? ? ?,negative
45,"tom friedman on msnbc , in past video , preferred a gop senate run by a fictional mcconnell that wants to cooperate . friedman met with biden today . now , per tommy boy , the real mcconnell will screw us all if dems lose georgia senate races . guess he had a come to jesus moment . my",negative
46,"     if it was a conspiracy , they 'd have waited until president - elect biden was in office .",negative
47,all the left - wing kook activist groups who supported biden are in for a rude awakening if biden somehow prevails . they will receive zero dollars or positions in a biden admin because biden and his globalist cronies will be getting it all . 🤣 😂 😆 🤪 😃 😅 😍 # kag # kag2020 # trump,negative
48,"   america 's lying , loser president , he 's the fraud . he thinks his millions of votes are correct but biden 's are not , please .",negative
49,"     biden is not the "" president - elect "" 

 the election process is not even done yet 

 it is very foolish to count your chickens before they re hatched .",negative
50,"     meanwhile , # trump comes up with another silly idea ... 
 due to his inability to get any real traction on fraudulent voter claims , he 's now thinking there can be a dual presidency . he 'd like to team up with joe biden . he 'd even be ok with the tiny desk . 🤣 # trumpispathetic # trump  ",negative
51,"how about help to get a law passed for all gov't politicians to not get rich on insider trading as pelosi , feinstein , biden , and others have done for years .    how did biden go from his reported income of thousands to 16 million ?   maybe you should focus on him first ?",negative
52,   i wonder the same with what    would have been saying about biden ? oh i forgot they do n't like your daddy anymore .,negative
53,"   little known fact – that biden ’s support for thatcher in 1982 was not the first time that the us helped kick argie ass ? lexington raid 1831 anyone ? 
 
 or p.101   👇 
 ",negative
54,   joe biden can kiss my ass until april 21,negative
55,           but if she did wanna fairly run in 2024 with no cheating then she can go ahead but no one would vote for her and she would probably end up trying to cheat the election like biden or like you said about trump try to get rid of the process all together kamala and biden are corrupt .,negative
56,"  _ citizen    no it has not . 

 you ’re currying favor with the hard - centrist biden administration by sucking up to his appointee , amprog ’s ( cap ’s ) notorious bernie - bashing corporate - shill head neera tanden . 

 shameful . despicable . indefensible .",negative
57,"     president elect joe biden has now pulled ahead of donald trump by seven million votes and counting . this election was never even remotely close . it 's over , the courts wo n't even justify the ridiculous lawsuits . games over .",negative
58,         74 million people know biden   is a liar along with his counter part . it 's all bs . president trump deserves all the credit .,negative
59,"     "" bonkers conspiracy theories "" 
 you should be ashamed . 
 biden did not win this election . 
 the evil dems stole it . 
 we the people - taking it back",negative
60,"           ballots for biden ! omg , that ’s how he cheated ! give it all to trump !",negative
61,"   "" joe biden 's win ""   says who ? the media spread that shit . he did n't officially win anything . nothing has been awarded to him . no delegates , no nothing . 
 where do idiots come up with this shit . jstfu",negative
62,"trump has lost so many times that biden needs to tweet "" i 'm getting tired of all this winning """,negative
63,  _ jordan ohhhh we americans highly doubt biden had a conversation with anyone without coaching teleprompter ear devices . americans are n't stupid . biden has lost his faculties,negative
64,     i did n’t know there were this many stupid people in america . these poor people live in a fantasy land where trump did n’t lose to hillary by 3 million votes and somehow had a “ landslide ” win over biden . god help us .,negative
65,"       poor guy probably needs a rest . besides it 'll give him a chance to prepare the work with biden . silver lining . 47 days to go ! only trump would fire an expert with 50 years working for 6 presidents . fortunately , there are associates that can carry on the work seamlessly .",negative
66,   smoke and mirrors . time enough to distribute the vaccine and steal the credit for the cure . tsk tsk tsk biden keeps going at it . plus ... he 's not and will not be prez : d,negative
67,stop the presses ! biden has just made a big decision .,negative
68,"democratic concerns over morell and torture scramble biden 's cia decision    yup , approve him especially if he was hunting down those who beheaded americans . those who oppose him should take their heads out of the sand .",negative
69,"  _ n_savvy2 omg seriously ? ! 😂 🤣 
 and just like biden she steals something that is not hers or theirs ... 🤣 😂 
 they can not ever get their own stuff or their own words . degenerates ! !",negative
70,     your not trying to biden me are you ? a used car salesperson tried to biden me with a lemon last month and i 'm sick of people trying to biden me .,negative
71,"biden team continue disrespecting # hispanics 

 hispanic caucus unhappy with transition team treatment of lujan grisham  ",negative
72,"biden 's thoughts for omb are like : 
 "" so ... should i fuck over the activists that voted for me by installing the worse option or the insulting option ? """,negative
73,"   lying to yourself gave you all an election defeat . and you 're embarrassed , so now you are screaming fraud . it 's not gon na work . you 've had 4 years to demonstrate leadership . you all failed . badly . blame yourself - not the martians , antifa , biden , clinton or the virus .",negative
74,"     i understand why he is doing it , but do n't agree w    do n't need to keep pointing stuff out . biden would be the end of america & amp ; globalist tyranny . i want trump as pres .",negative
75,"  _ jedi   _ ransom    * witnesses blatant fraud 
 * proclaims it 's not enough fraud 
 * countinues trusting the system 
 smells like a brainwashed biden supporter",negative
76,"watch dr . shiva lay out the case for massive election fraud ( video ) - patriot outlook 
 ... ” dr . shiva ayyadurai showed the only way for biden to have statistically caught up with trump was if demorat votes came in at 130 % for biden & amp ; -30 % for trump ... ”  ",negative
77,   biden hired no one . he ’s not president elect . he named a few people that ’s all,negative
78,       or kicked his butt so hard that biden broke his foot,negative
79,opinion : biden is in a tricky position when it comes to trump being investigated  ,negative
80,"     actually , we do n't want biden doing anything in washington .",negative
81,     crazy thought :   both obama and bowman are right .,negative
82,   is the vp thinking yet or is she still in a daze ? or the learning mode ? does n’t need lessons in lying- does the cat have her tongue ? she used to be a know it all yapper but someone has silenced her ? maybe the squad and biden are at odds - what is it ?,negative
83,joe biden ’s cabinet is a lost cause for the left  ,negative
84,"   i think that the american people would support confronting china , but i have grave doubts about the people around biden .",negative
85,   biden is not elected because they are still counting fake ballots .,negative
86,"  _ reasons    i ca n’t get my mind wrapped around biden actually being president . no , no , no .",negative
87,"   biden is not the "" president - elect "" 

 the election process is not even done yet 

 it is very foolish to count your chickens before their hatched .",negative
88,"if # biden does not bring congress together and pass multiple # stimuluschecks , his term will see the worst stock market crash in history and # trump will win in a landslide in 2024 ... (tgj )",negative
89,"biden - harris - dnc had a plan to screw "" ice cube and black voter 's "" - but "" god "" had a plan too "" ga run - off election "" - black people impose penalty "" ... stay home black people - do not vote in ga run - off election -    ",negative
90,"     # biden was trash top of ticket ,    is toxic af w/ lower approval than # trump & amp ; denying stimulus b4 election . ya dumped hundreds of millions into 4 races u lost & amp ; ignored others . this is y’ all ’s mess not ours . 72 % wanted m4a , nowhere to be found  ",negative
91,"     the mueller investigation knew there was no evidence of collision when they embarked on an expensive , destructive fishing expedition . they spent 3 yrs and came up empty handed . mueller himself was embarrassing when his sham report - less coherent than even biden .",negative
92,   i ’ll tell you 1 damn thing after watching these hearing joe biden and the democratic party are the biggest bunch of lying ass cheats i hope they all go to prison ! ! this is insane ! 🖕 🏾you,negative
93," 

 nevada ' fraud ' : 1,500 ‘ dead ’ voters , 42,248 voted ‘ multiple times , ’ rv camps as ' homes ' 

 thousands of fraudulent votes cast — possibly enough to overturn biden ’s win there by 33,569 votes .   fraud cases can take months to years to investigate",negative
94,amused and disturbed by the fact that biden and pelosi both visibly have dementia but mitch mcconnell ( despite clearly rotting away ) still seems sharp as a tack,negative
95,"biden 's accuser speaks out | newsmax tv    via    tara reade details her story surrounding former vice president joe biden , the ' hypocritical and the complicit behavior ' from democrats such as hillary clinton , the evidence she has and more",negative
96,"rudy even took this scheme to court- saying he has no evidence , they 're not claiming fraud , but wants the judge to tell legislators in mi to install electors who will choose trump , despite biden winning ! 

 this is ridiculous & amp ; infuriating ! 

 so tired of these criminal republicans .",negative
97,"trump ’s personal lawyer urged michigan republican activists on wednesday to pressure , even threaten , the gop - controlled legislature to “ step up ” & amp ; award the state ’s 16 electoral votes to trump despite democrat joe biden ’s 154,000 - vote victory . 

 wtf ? ? 

 ",negative
98,"joe biden       getting hot ! time 4 lets make a deal ! . barr & amp ; durham r closing final hunt of 5m , cefc ( china energy . ) . some say treasonous activity . this election is a trap , that trump will win n the end . new military tribunal ( firing squad , hanging , possible guillotined !",negative
99,"   no because they have n't done one single investigation .   even the cctv at a poll station proves fraud .   what is it that you actually need to see before you start reporting truth .   even if biden conceded the bbc would have a hologram of him as peotus ... 

 pathetic ... # defundthebbc",negative
100,ーpresident - elect joe biden has urged lawmakers to come together on an interim deal during the lame - duck session of congress .  ,negative
101,     keep this in mind ... democrats ca n't win with less than 90 % of the black vote yet we 're to believe that joe biden did just that . georgia has n't went blue in 30 + years yet we 're supposed to believe that biden had the ability to do that ...,negative
102,"biden seeks to protect daca , but this notorious republican is trying to throw a wrench in that plan  ",negative
103,"among first acts , biden to call for 100 days of mask - wearing . that ’s gon na be a big fu   ",negative
104,"     i listened to the podcast . she did n't promote any socialist ideas , absolutely nothing . she spent all the podcast attacking biden , dems , and neera tanden . that 's what she did .",negative
105,"       your an absolute embarrassment to come here to say to me "" i should be removed from society "" how bloody dare you . your a disgrace to say that . here we have another maga trumper who ca n't admit defeat face it trump is finished on jan 20 potus biden will take office no ifs or buts",negative
106,"the clown show continues . 

 biden asks fauci to serve as ‘ chief medical advisor ’ during covid crisis via    ",negative
107,"       biden is terrible on all of those issues , and so is trump ! they are both shit but trump is shittier because of his neofascist proclivities on top of his neoconservative policies . how many times are we going to go over the same thing ?",negative
108,🤬 🤬 🤬 somebody please get the tiny infantile liar loser some psychological help so he can realize joe biden and kamala   harris won so he can just go away and leave us alone ! ! ! ! ! !,negative
109,"   america did n't choose you joe , this was a planned election fraud and you know all about it . 
  mainstream media outlets have chosen to push the narrative that joe biden won the election fair and square , largely deceiving the american public",negative
110,biden keeps winning ! trump must be so mad and jealous   ,negative
111,"biden 's task force for covid will need to start at the beginning and find out how much of what we supposedly know , is fact and not trump 's imagination and conspiracy theories . 

 and thus , i will not take a vaccine until it is proven by&gt;31",negative
112,"i have something to say to all democrats 👁 
 -first of all , you do n't like biden , you hate trump 🤐 
 -secondly , you do n't care if there is electoral fraud as long as biden beats trump 😯 
 -third , you do not love your country , you are a traitor🥲 

 think about that if you still have a 🧠",negative
113,"     there 's a reason you have to cherry pick state executive offices rather than federal legislative offices . 

 and even then you have to pretend a guy who 's every position this election cycle was the opposite of biden is a biden democrat . 

 because centrists got smoked .",negative
114,   what in the actual f going to take to show this election a sham ? ?   my god even biden humpers should be mad cheat election cheat you too fools .,negative
115,   biden sucks . no chance . shove your mask,negative
116,"   🤦 🤦 🤦 🤦 🤦 🤦 🤦 🤦 🤦 🤦 hey biden - "" we have been wearing mask already fool ! "" what about 240 days ! who can remember how many days ! biden acts as if he is the first one who has thought of wearing mask ! 🤦 🤦 🤦 🤦 🤦 🤦 🤦 🤦 🤦 🤦 🤦 🤦",negative
117,hollywood horrified after legendary actor warns of biden regime | deep state tribunal  ,negative
118,"i do n't either .    he will be 78 and in worse shape than he is now . he knows in his gut , he lost by 3 m to hillary and by 6 m to biden , plus another 2,605,850 write ins & amp ; 3rd party voters .   he 's stupid , but not that stupid .",negative
119,"   4 years ago , americans said they wanted someone on run the country like a business . 4 years later , we ’re sick , dying , broke & amp ; morally bankrupt so ... job well done ?   🤦 🏽‍ ♂ ️ 🤦 🏽‍ ♂ ️ 🤦 🏽‍ ♂ ️ i wish pe biden could take over tomorrow !",negative
120,@_1216715 's account is temporarily unavailable because it violates the twitter media policy . learn more .,negative
121,biden is not the president elect so quit with your bs left winged propaganda,negative
122,   there is no biden administration ! !   biden is corrupt and committed numerous treasons ! ! !,negative
123,"   communists dragging feet , you cheated !   biden should concede !",negative
124,"   did you dispute your communist want to be leader biden ? 

 watch "" the freudian slip - linked to the unconscious mind "" on youtube 
 ",negative
125,"  _ p    fuck biden 
 the hottest selling mask on amazon",negative
126,  _ kathy        is it hard to gag down that old biden cum buddy !,negative
127,how dozens of trump ’s political appointees will stay in government after biden takes over ⁦ ⁩ ⁦ ⁩ # change names of offices and job duties . dump all of them . restructure all of these agencies .   ,negative
128,"   i wish that santa claus would visit me , and bring me the paper that says donald trump will be our president for the next 4 more yrs , and biden is in his celler crying his eyes out on kamala hariss shoulder boo hoo biden",negative
129,   🖕 🏻#biden and 🖕 🏻his 100 days of mask . what an idiot,negative
130,"saying you have no evidence to check the ballots ( while 100 's of affidavits are in play ) just makes everything worse .   get to it .   if biden won , so be it .   this whole nonsensical "" no we wo n't check until you confirm there was fraud "" ca n't be done .   we ca n't analyze the ballots .",negative
131,   omg !   why wo n't cnn say something about that new video from georgia ? ? ? ! ?   the guys at work say it 's proof ! ! !   aggh ! !   now i 'm so worried ! !   what if biden does n't win ? ? ! ! ! 😱 😰,negative
132,"today ! second stimulus check ? trump second stimulus package bill deal wi ...    via   
 filthy liars , all dems & amp ; republicans ! now biden is jumping on the band wagon , nothing but liars , liars pants on fire !",negative
133,joe biden plagiarized his speeches . now he ’s plagiarizing work done by trump and pence . what a piece of shit .,negative
134,"     actually biden lost by 50,000,000",negative
135,   our hard earned money eventually confiscated in a biden socialist country .       why do n’t people get this ? ?,negative
136,"     democrats plan is to make citizens desperate si they can go to the biden admin for more money . 

 democrats are intentionally starving and bankrupting us to get the budgets they blew propped up by federal taxpayers from other states . 

 it 's intentional !",negative
137,  _ predicts    i contribute much of this to lin wood . ga certification for biden will fall . all the other states will follow suit . they have no choice.trump wins . people will go to atlanta pen . the work begins to reform elections to prevent or at least curtail election fraud . china is punished .,negative
138,"       biden wins and y’ all still talk about trump , so damn sad",negative
139,     have you been paying any attention at all to what is going on around you ? biden lost - fraud .   the arrests have already started . wake up !          ,negative
140,     i do n't have to try and make him president . he 's showing all the fraud and cheating that pedo biden committed .,negative
141,   well they need to stall this vaccine until corpse biden gets in and mandates mask wearing national wide so he can take the credit for the covid cure .   old trick on the book .,negative
142,     i am sorry that you truly believe that . it 's all noise . any election will have issues in any country . but i am calling bullshit on the stuff that is being pulled out of the hat from rudy and his pose and that crazy powell woman . biden will be president & amp ; trump will still be a nut,negative
143,"  _ cochran      sedition , treason , mentally unstable and not to mention he ’s pretty much stopped doing his job since the election anyway so he might as well get the fuck out of the white house and let a real president , biden start putting america first and start fixing everything trump destroyed",negative
144,"biden ’s team was on the verge of announcing heitkamp last week , prompting clyburn to come forward and criticize the lack of diversity so far in the cabinet",negative
145,   no he wo n't bcuz biden will not be president ! trump will still be president ! i think i showed u a number articles detailing why trump will remain president ....,negative
146,"pretty obvious joe biden , the democrats the liberal elite and the leftist media in some way shape or form cheated on the election . cheaters gon na cheat that ’s what they do",negative
147,"   there are more illegal votes than biden won in 3 states : wisconsin , georgia , and arizona",negative
148,   this looks like china trying to remove tensions prior to a biden administration,negative
149,suitcases pulled from under table after poll watchers were told to leave    # ballot # biden # election # georgia # presidenttrump via   _ us my my my !,negative
150,can biden bring intelligence back ? - war on the rocks -  ,negative
151,"on separated migrant kids , the biden team faces a hugely complex problem ,    and    write  ",negative
152,can biden bring intelligence back ? - war on the rocks -  ,negative
153,"# georgiahearing : a witness said he caught an error of over 9,000 votes wrongly going to joe # biden during the 1st # georgia recount . "" that final total for biden ended up being 1,081 and not 10,707 as initially submitted and signed off on by two counters . ""  ",negative
154,"   this is part of the donald trump ( past president ) lying to remain in office . his own administration is turning their back on his lies . doj barr and other gop leaders have excepted the election results from each state . soon , the electoral college will confirm biden as the winner .",negative
155,"   if biden gets in , he will be the worst and most short - lived president ever .",negative
156,"one segment on    demanded republicans vote for all of joe biden 's cabinet nominees , while having a guest in that very segment who voted against seven of president trump 's nominees .   ",negative
157,"   there goes d theory that this entire election was 1 giant sting op .... im scared 4 future , trump should have realized they were about to rig when biden did nt bother to campaign.didnt any of his advisors realize this??so d only checkmate we have to this is that dems rigged w/o care ?",negative
158,"     constitutionally how could he force everyone ? i voted biden , wear my mask everywhere and a big mask advocate but not sure what his executive steps could be",negative
159,"   listen i am a patriot and took an oath . and i 'm all for poking at biden . but this meme is total bullshit . those graves are american soldiers , brothers and sisters . this is nothing to meme about and definitely not a joke .",negative
160,"   said in jest in a locker room 15 years ago to another male but not actually done and no female present 

 compare to biden who actually touched girls as recently as this year",negative
161,   they 're suing biden ? ?,negative
162,     go to prison for what ? biden is the criminal . stop projecting . 🙄,negative
163,  _ whiten    biden who represents the chinese communist 's ? ... yeah right !,negative
164,     they should ban trump until after biden is sworn into office .,negative
165,"   biden wants people to wear mask for 100 days , wtf !",negative
166,   that ’s because he ’s a leader unlike trump who ’s destroyed america with his lack of education and anything that makes sense . biden has to clean up all his messes but ca n’t undo 260k dead americans on trumps bs watch . pathetic .,negative
167,    _ stros    which is why u and other libs like biden prefer to cower to them instead of stand up to them .. currently as u sit china ’s just looking for reasons to goto war with australia   but let ’s just let that be .. exactly the reason why the left should n’t be in charge,negative
168,   johnson will then have a problem with joe biden . worth considering what will happen to johnson if the cia tell everyone what they know about putin ’s apparent role in criminally procuring they 2016 uk eu leave vote ...,negative
169,   this is n’t news ! absolutely stupid to cover what shoes biden or harris wear . 🤦 🏻‍ ♀ ️  ,negative
170,     joe biden is wanted class a felony in ukraine,negative
171,   we might find out if reporters were willing to interview biden voters instead of looking for whiney trump voters .,negative
172,    biden administration   is going to be hurting     let there be another revolution .,negative
173,"   @_mama_doc        here 's where i get lost in the weeds . it appears that cheating in an election is acceptable , provided you are the winner . that seems awfully short - sighted to me . why would biden want to serve his term under such a cloud of doubt ?",negative
174,"  _ paul1      if our courts , including the supreme court do not stop this coup and they attempt to put communist cheaters kamala and biden in power there will be a civil war .   i have no doubt .   this is wear its going .",negative
175,"   yes , but the question is what are the steps that need to be taken to reach a stateless society ? 

 also , the only way i can think of changing licensing laws are via advocacy groups . plus , it 'll be even harder to have a gun with biden 's classist gun control policies .",negative
176,  _ 1 there could be video of biden discussing the plan to get fake ballots into each polling place and democrats still would n't believe he cheated .,negative
177,"when republicans — especially 2024 presidential aspirants — describe president - elect joe biden and his nominees as “ socialists , "" they practically spit out the word . 
 opinion | why republicans are resorting to anti - socialism hysteria  ",negative
178,"   y’ all democrats are cute . you are obviously mesmerized by fake tv news . they have videos proving they cheated , all over ! if you think biden would ever get more votes than obama ... you need to re - think it ! 🤦 ‍ ♀ ️",negative
179,joe biden looks bent on restoring chaos at the border    via  ,negative
180,"   sounds like the 12 days of christmas : 12 million extra votes for biden , 11 house seats flipping , 10 media outlets censoring , 9 supreme court justices sleeping , 8 thousand hacked voting machines , 7 senators outraged , 6 states stolen ...   and a partridge in a pear tree !",negative
181,"if you had an american girl doll as a kid , then you should be worried about biden ’s tax plan .",negative
182,     whatever happens happens .    joe biden did n't get 80 + million votes .   he lost in a landslide .   that is what i believe and i do n't forsee that changing .  ,negative
183,"   trump ’s votes did n’t “ disappear ” . states began counting mail - in ballots and they were overwhelmingly for biden ; trump lost his early lead . that ’s how counting votes work . every election , red counties may come in first followed by blue counties or blue before red . watch coverage",negative
184,   joe wants to know why jill biden 's husbands foot is sore .,negative
185,   @_jasonpastrana _ imagine explaining that biden bombed 5 new countries last time he was in office ( compared to zero by 45 ) but you were too caught up in petty cult of personality games to realize that .,negative
186,   i ’d rather be cursed following biden than in the bed with the devil .,negative
187,"     biden is not relevant anymore ! like your channel cnn , they have proven to be complicit , enemies of the state . 

 it ’s now between dod , fbi and cia , after vetting is done , your asses will be online .",negative
188,"         i have something to say to all democrats 👁 
 -first of all , you do n't like biden , you hate trump 🤐 
 -secondly , you do n't care if there is electoral fraud as long as biden beats trump 😯 
 -third , you do not love your country , you are a traitor🥲 

 think about that if you still have a 🧠",negative
189,"       from where i sit , having worked with many boomers and family who are biden fascists ... most of them are straight up racist . 
 they truly believe in "" decorum politics "" . racism is ok , so long as it 's dog whistled . 
 clips like this resonates with them . 
 ",negative
190,   “ if ” joe biden wins electoral college ?   he already did .   wtf ?,negative
191,fuck off twitter ! the only thing disputed is joe biden ’s fraudulent win !,negative
192,"   i ’m not happy about it , i ’m pissed they cheated so brazenly and in the open . these people will murder everyone if they think it will get biden into office .",negative
193,"   if biden becomes president ? on jan 20th noon , he will be president . if you have recommendations , talk to mr . biden about them . he actually listens . do n't play games chuckie !",negative
194,     this is what america has to look forward to with the biden - harris administration .   we are doomed .,negative
195,     he is pretty arrogant i 'll give you that . if you think biden and many many democrats are n't the same then i say take off your blinders . the argument i 'm not bad because he 's worse does n't play well here . no matter what trump has done you do n't want to own the faults of the 1/,negative
196,"           the emails from the laptop showed joe biden had a part of all of the business dealings with the companies which ties to the ccp , as   well as personally having a meeting with the oligarch who ran burisma . which he had denied being a part of in the past .",negative
197,"# brokencampaignpromise1 to get the virus under control on day 1 . wearing a mask for 100 days is not science . 
 yep , he punts it . 
 biden to call for 100 days of masks after inauguration    # foxnews",negative
198,i got people in my family saying biden won because dead people voted for him  ,negative
199,"leaked tapes reveal cnn buried the hunter biden laptop story | just the news 
 ",negative
200,"senate republicans are already opposing neera tanden 's intended nomination to a top biden administration budget role , citing her criticism of the gop on twitter . 

 democrats are pushing back , noting republicans are n't bothered by president trump 's tweets .  ",negative
201,"this will kill businesses as well as families , america just want though the worst economy from the democrtic states and now biden us raising taxes ! america you voted for this idiot now your going to pay for it ! ! ! ! ! !  ",negative
202,"           you guys are n’t alone . i ’ve heard of thousands of people swearing that the election was rigged for trump in 2016 . apparently , it was rigged for trump in 2020 as well , but biden just got way more votes . 
 it does n’t surprise me . i do n’t see how a single state could have voted trump .",negative
203,"    _ 2650 i have something to say to all democrats 👁 
 -first of all , you do n't like biden , you hate trump 🤐 
 -secondly , you do n't care if there is electoral fraud as long as biden beats trump 😯 
 -third , you do not love your country , you are a traitor🥲 

 think about that if you still have a 🧠",negative
204,               no . you ’re to dumb and selfish to see what he ’s doing . there is proof of fraud and you do n’t even care because you want a dumbass like biden in office so he can give money to other countries . he ’s doing this for the people . over 80 million people realize it . the left just does n’t,negative
205,🔴 breaking : cia cyber crime expert ‘ hundreds   of thousands ’ of votes “ flipped ” from president trump to joe biden in sworn affidavit .    μέσω    political war room,negative
206,"add bill gates and his whole family , fauci , birx , biden and his whole family , the cuomo mob , warren wilhelm ( bill deblasio ) and his entire family , the clinton gang , kamala and klan , doj , and fbi first before i would consider a vaccine .    then i would still say no !",negative
207,"       /2 are for biden or trump 

 i agree it warrants investigation but too early to rule one way or another 

 also this audio of a republican fulton county election board member disputes it 

 ",negative
208,"   correction to your headline : 

 fraudulent - elect biden ...",negative
209,"so , biden will ask americans to wear masks for 100 days .   many trump fans will use this to not wear masks .   welcome 3rd and 4th waves .",negative
210,             statistical analysis does n’t equal fraud especially with personal decisions about voting . all sorts of people decided to vote for biden . your statistics argument can not account for that .,negative
211,"           i lack a sign of any evidence in this stream thus far . as for argument , i have none with you , nor am i   particularly supportive of trump or biden . you promised me evidence in this stream , there remains none presented . i see much bluster , but no substance .",negative
212,     do n't care about trump or biden . our elections are broken and i do n't find it funny .,negative
